unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,plate_id,well,cell_line,treatment,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,...9,d0_weighted_mean_repeat,weighted_repeat_gain,day,genotype,normalised_gain
20230413_A12.fsa,NA,NA,NA,144.3097926290164,1272,141.3097926290164,1169,32,32,21,130.3097926290164,161.3097926290164,145.8097926290164,144.63744635975237,145.8097926290164,1272,-11,20,3.3276537307359604,3.327653730735975,5.444738314429581,6.104409995044949,10.106132075471699,10.106132075471699,-3.104878412651052,-9.881812080536912,-6.638179669030732,-4.744957983193277,-2.4688910696761526,-0.6883661248930704,0.9173775671406004,2.463443396226415,4.050221827861579,5.845000000000001,8.031606905710492,11.065466101694918,13.553885135135133,17.69640350877193,0,0,0.19249605055292257,1.3069182389937108,2.417531446540881,3.547514262428688,4.760869565217392,6.088042328042327,7.661344537815127,9.580030721966207,12.297089947089948,14.597727272727273,18.24678571428571,20230413_A12,20230414,A12,P3,DMSO,NA,NA,NA,NA,141.07336923050724,3.5640771292451348,29,"PMS1
delta PE",1.0112725093587085
20230413_B01.fsa,NA,NA,NA,163.32995818865345,537,157.32995818865345,398,38,38,24,132.32995818865345,180.32995818865345,160.38258976760082,163.31720699004077,161.82995818865345,537,-25,23,5.987248801387324,5.987248801387331,8.197184535346322,8.499388753056234,14.232774674115456,14.232774674115456,-5.359722909450767,-23.935,-6.4784999999999995,-3.2113861386138614,-0.15175879396984893,2.0586206896551738,4.028897338403042,5.874301675977653,7.749618320610687,9.738702928870294,12.047671232876713,15.189406779661018,17.641193181818178,21.223432835820894,0,0.026315789473684306,1.0042283298097254,2.703853955375254,4.325095057034221,5.86219739292365,7.427480916030534,9.04602510460251,10.843822843822846,12.936986301369865,15.877118644067798,18.140624999999996,21.465671641791044,20230413_B01,20230414,B01,P6,DMSO,NA,NA,NA,NA,156.95367332425215,6.363533665788623,29,"PMS1
delta PE",0.9508864095786922
20230413_B02.fsa,NA,NA,NA,162.2745935688757,1031,157.2745935688757,616,42,42,28,143.2745935688757,184.2745935688757,163.7745935688757,164.2310733143447,163.7745935688757,1031,-14,27,6.956479745469011,6.956479745469007,8.25129254019658,8.862137465236392,13.647914645974781,13.647914645974781,-3.658105939004815,-11.76546875,-5.497208121827411,-2.563170731707317,0.5805157593123212,2.7037077426390415,4.501842870999031,6.214847590953786,8.026222222222223,10.024097938144331,12.481219903691816,15.969750000000003,19.040979381443297,24.442911392405055,0,0.19928366762177654,1.2386861313868613,2.964449291166849,4.491367604267702,5.958949416342413,7.480810234541578,9.142427745664738,10.990206185567011,13.319927536231885,16.709850746268657,19.68505154639175,24.759240506329114,20230413_B02,20230414,B02,P6,DMSO,NA,NA,NA,NA,156.95367332425215,7.277399990092562,29,"PMS1
delta PE",1.0874430954691183
20230413_B03.fsa,NA,NA,NA,162.34540077978727,695,157.34540077978727,447,47,47,27,130.34540077978727,183.34540077978727,159.89859226914896,163.64588556084107,160.34540077978727,695,-27,26,6.300484781053797,6.300484781053803,8.486767861400303,8.907036859741503,14.028776978417266,14.028776978417266,-5.321083172147002,-22.88142857142857,-7.780978260869565,-3.72509505703422,-0.15302013422818783,2.1693623639191295,4.132661870503598,5.972551928783383,7.921439749608763,9.972158154859969,12.456944444444446,16.064609053497946,18.99413265306122,23.458382352941182,0,0.1452702702702703,1.141207815275311,2.872472783825817,4.475539568345325,6.009216589861752,7.625195618153365,9.30807248764415,11.159318637274552,13.507894736842106,16.944444444444446,19.714527027027025,23.77279411764706,20230413_B03,20230414,B03,P6,DMSO,NA,NA,NA,NA,156.95367332425215,6.692212236588915,29,"PMS1
delta PE",1
20230413_B04.fsa,NA,NA,NA,158.34310747730737,871,150.34310747730737,512,41,41,27,136.34310747730737,176.34310747730737,156.34310747730737,157.41686434807306,156.34310747730737,871,-14,26,7.073756870765692,7.073756870765691,8.496356896331331,9.166541240216738,14.256027554535017,14.256027554535017,-3.8777003484320556,-11.917272727272728,-6.024025974025974,-2.9048128342245985,0.44156729131175526,2.8149506346967574,4.783453237410073,6.630484988452657,8.458404907975458,10.48512396694215,12.867114093959733,16.254117647058827,18.902409638554214,23.32666666666666,0,0.25962521294718915,1.3487101669195753,3.244358974358975,4.886570743405277,6.457505773672056,7.986222732491388,9.650843060959792,11.494955489614245,13.748854961832063,16.94764705882353,19.452173913043474,23.668405797101443,20230413_B04,20230414,B04,P14,DMSO,NA,NA,NA,NA,150.57864927402295,6.838215074050112,29,"PMS1
delta PE",1
20230413_B05.fsa,NA,NA,NA,158.27230026639577,913,150.27230026639577,608,44,44,28,134.27230026639577,177.27230026639577,155.77230026639577,156.65572747735914,155.77230026639577,913,-16,27,6.383427210963362,6.383427210963359,8.383775622786134,8.956959706959706,14.548740416210295,14.548740416210295,-4.740985411505643,-14.259875000000001,-8.712867647058824,-3.9750684931506846,-0.3105263157894732,2.1239802224969107,4.196655518394649,6.138105975197295,8.050913242009132,10.050897435897438,12.381957186544344,15.657457212713936,18.54478672985781,24.264647887323935,0,0.149266862170088,1.1725699067909456,2.9866501854140917,4.637458193979934,6.242841037204059,7.8192771084337345,9.444888366627497,11.22841530054645,13.355398230088497,16.490634441087614,19.332530120481923,24.69070422535211,20230413_B05,20230414,B05,P14,DMSO,NA,NA,NA,NA,150.57864927402295,6.077078203336185,29,"PMS1
delta PE",0.8886936338691197
20230413_B06.fsa,NA,NA,NA,156.3065572206116,722,150.3065572206116,444,43,43,31,136.3065572206116,181.3065572206116,159.28330140665813,157.79714211032032,159.3065572206116,722,-14,31,7.490584889708714,7.490584889708708,8.723080470371224,9.459061967536543,14.444598337950138,14.444598337950138,-3.4800347222222223,-10.28375,-5.372543352601156,-2.659870550161812,0.590495049504951,2.902975206611572,4.865491923641704,6.698424068767908,8.563556851311953,10.620133111480866,13.077522935779818,16.975403225806453,20.716803278688516,27.228653846153843,0,0.22485148514851494,1.303102189781022,3.1963246554364475,4.866813509544788,6.433237822349571,8.022594752186588,9.706836248012719,11.586654804270465,13.93073394495413,17.869082125603867,21.503879310344825,27.58634615384615,20230413_B06,20230414,B06,P14,DMSO,NA,NA,NA,NA,150.57864927402295,7.218492836297372,29,"PMS1
delta PE",1.0556106759043529
20230413_B08.fsa,NA,NA,NA,128.72546268456642,665,125.72546268456642,503,37,35,23,110.72546268456642,147.72546268456642,130.46831982742356,130.32216132387046,130.72546268456642,665,-15,22,4.596698639304037,4.596698639304037,6.060227526210127,6.553497942386831,9.962406015037594,9.962406015037594,-3.0110142267095,-13.666857142857143,-5.296850393700788,-3.0573705179282866,-0.7669980119284294,0.8513333333333338,2.277293233082707,3.6540880503144653,5.103663003663003,6.862711864406782,9.253939393939396,12.36255707762557,14.934965034965032,20.02528301886792,0,0,0.3766666666666667,1.5698234349919744,2.693233082706767,3.8254716981132075,4.996774193548387,6.383474576271186,8.082840236686392,10.29470198675497,13.160000000000002,15.801075268817204,20.341509433962266,20230413_B08,20230414,B08,CC4,"100 nM
Bran.",NA,NA,NA,NA,125.81332377408606,4.508837549784403,29,WT,0.9245458298572224
20230413_B09.fsa,NA,NA,NA,129.59875161914292,762,125.59875161914292,562,33,30,20,115.59875161914292,144.59875161914292,130.09875161914292,129.99772239300447,130.09875161914292,762,-10,19,4.398970773861549,4.39897077386154,5.659093115836489,6.172565844357049,10.011811023622048,10.011811023622048,-2.6271255060728746,-8.926617647058823,-4.97025,-2.9877192982456138,-0.7298932384341636,0.9805379746835451,2.4183783783783785,3.7867454068241466,5.20233918128655,6.740519877675842,8.540350877192983,10.98056338028169,13.136956521739124,16.98403225806451,0,0,0.4384493670886076,1.683898305084746,2.831486486486487,3.9375328083989505,5.091374269005848,6.332721712538226,7.690737564322471,9.326905829596413,11.671167883211679,13.72950310559006,17.317368421052628,20230413_B09,20230414,B09,CC4,"100 nM
Bran.",NA,NA,NA,NA,125.81332377408606,4.184398618918408,29,WT,0.8580190017638407
20230413_B10.fsa,NA,NA,NA,139.21167344338068,961,132.21167344338068,594,33,32,25,125.21167344338068,156.21167344338068,140.71167344338068,138.98304916275586,140.71167344338068,961,-7,24,6.771375719375186,6.771375719375172,7.3774321731981365,7.9374279345068794,12.536940686784598,12.536940686784598,-2.027968821641449,-6.087391304347826,-3.0448529411764707,-1.2728051391862953,1.017661691542289,2.7779326364692225,4.384221748400853,5.923560209424084,7.459611231101512,9.125575447570334,11.155398230088496,14.493114754098361,17.436633663366337,21.60047058823529,0,0.07796961325966857,0.9763812154696133,2.5572590011614404,4.012473347547975,5.392251308900524,6.749739854318419,8.15609756097561,9.734398976982098,11.717168141592921,15.016015625000001,17.829455445544554,21.787176470588236,20230413_B10,20230414,B10,CC5,"100 nM
Bran.",NA,NA,NA,NA,133.31509680901274,5.667952353743118,29,WT,0.8514906742827437
20230413_B11.fsa,NA,NA,NA,139.05994370571295,879,132.05994370571295,520,34,34,27,125.05994370571295,159.05994370571295,141.58935547041884,138.8547292397752,141.55994370571295,879,-7,27,6.7947855340622425,6.794785534062237,7.3896322348803425,7.9559996569174025,12.263936291240045,12.263936291240045,-2.0051546391752577,-5.880725806451613,-3.0123983739837397,-1.26438679245283,1.0683473389355744,2.847889182058048,4.4113689095127615,5.914857142857143,7.45089058524173,9.126142857142858,11.12857142857143,14.206137184115525,17.06654411764706,23.25901960784313,0,0.10039872408293465,1.026470588235294,2.621108179419525,4.047215777262181,5.393828571428572,6.722980659840728,8.173096446700507,9.734714285714288,11.64871794871795,14.718772563176895,17.588602941176468,23.53745098039216,20230413_B11,20230414,B11,CC5,"100 nM
Bran.",NA,NA,NA,NA,133.31509680901274,5.5396324307624525,29,WT,0.8322133037398246
20230413_B12.fsa,NA,NA,NA,135.87024744274242,1355,131.87024744274242,903,32,32,24,123.87024744274242,154.87024744274242,139.37024744274242,138.48016976080945,139.37024744274242,1355,-8,23,6.609922318067021,6.609922318067007,7.300195396273174,7.891953277092797,12.647232472324724,12.647232472324724,-2.1337654684737775,-6.650152671755725,-3.3362623762376233,-1.5357435197817189,0.7543233082706767,2.492505854800937,4.071308339709258,5.663540885221305,7.378919397697076,9.258159392789375,11.455036855036857,14.50219378427788,16.937601078167116,20.805579710144926,0,0.020300751879699312,0.8892857142857143,2.4101483216237316,3.807084870848709,5.210652663165792,6.652209492635024,8.2624,9.967172675521823,12.07328859060403,14.957586837294333,17.34845360824742,20.986086956521742,20230413_B12,20230414,B12,CC5,"100 nM
Bran.",NA,NA,NA,NA,133.31509680901274,5.165072951796702,29,WT,0.7759436170172614
