unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,plate_id,well,cell_line,treatment,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,d0_weighted_mean_repeat,skewness,weighted_repeat_gain,day,genotype,normalised_gain
plate1_A01_20230328.fsa,NA,NA,NA,128.7475380848266,905,123.7475380848266,571,32,31,22,114.7475380848266,144.7475380848266,129.7475380848266,129.2865727731286,129.7475380848266,905,-9,21,5.539034688301996,5.539034688302012,6.426028644755361,6.9190923018000765,10.540331491712706,10.540331491712708,-2.428377153218495,-8.003181818181819,-3.980120481927711,-1.9470066518847005,0.3154887218045113,1.9826370757180167,3.36390134529148,4.7077348066298335,6.10719794344473,7.740692640692641,9.801117318435756,12.69709677419355,15.353867403314913,18.88204819277108,0,0,0.7118796992481204,2.099770114942529,3.292825112107624,4.457016574585635,5.6430232558139535,6.9478149100257065,8.519732441471573,10.452156057494868,13.290000000000001,15.805524861878451,19.109333333333332,plate1_A01_20230328,2022-01-12_1,A01,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.4949876418334281,4.735605791145346,32,WT,1.0305334985307346
plate1_A02_20230328.fsa,NA,NA,NA,127.91102588401226,871,123.91102588401226,561,42,40,23,106.91102588401226,145.91102588401225,126.41102588401226,127.43074119814837,126.41102588401226,871,-17,21.999999999999986,3.519715314136107,3.519715314136119,6.528059554973815,6.47123287671232,9.895522388059701,9.895522388059701,-5.580273141122913,-16.163589743589743,-12.633962264150943,-6.542857142857142,-1.6166311300639655,0.5465491923641712,2.1982926829268297,3.648679678530425,5.070515970515955,6.65329593267881,8.553284671532834,11.236249999999986,13.70674157303369,19.432499999999976,0,0,0.5697503671071953,1.8735019973368843,3.0390355912743976,4.130384167636786,5.248157248157234,6.472650771388484,7.852678571428558,9.612576064908708,12.120331950207456,14.665354330708647,20.001960784313706,plate1_A02_20230328,2022-01-12_1,A02,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.843843836015974,2.879774216165117,32,WT,0.6266788091847227
plate1_A03_20230328.fsa,NA,NA,NA,127.94873749962274,1142,123.94873749962274,878,33,28,20,115.94873749962274,142.94873749962272,129.44873749962272,129.0059518856519,129.44873749962272,1142,-8,18.999999999999986,5.057214386029173,5.057214386029179,5.923429199487078,6.475226847184206,11.159369527145358,11.159369527145358,-2.1053725140991393,-6.9416379310344825,-3.8008120649651973,-2.205201342281879,-0.10660592255125245,1.4937613019891511,2.970990990990991,4.406578947368415,5.851372896368453,7.347164179104465,9.141038961038948,11.647289719626153,13.628947368421034,17.002421052631572,0,0,0.511623246492986,1.8148282097649187,3.0646234676007014,4.281052631578944,5.503985828166504,6.739161462979468,8.104467353951877,9.788051948051935,12.141451990632305,14.020171673819725,17.264631578947352,plate1_A03_20230328,2022-01-12_1,A03,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.3534360756368191,4.4549849036686595,32,WT,0.9694665014692654
plate1_A04_20230328.fsa,NA,NA,NA,127.02994541020372,1298,124.02994541020372,884,32,27,19,116.02994541020372,142.0299454102037,129.0299454102037,128.74519985458028,129.0299454102037,1298,-8,17.999999999999986,4.715254444376555,4.715254444376557,5.610361048323042,6.069376615914957,9.727272727272727,9.727272727272727,-2.200660859116852,-7.177766990291262,-3.9937179487179484,-2.1823529411764704,-0.062443438914026705,1.4512841756420884,2.7508474576271187,4.012850467289706,5.297423510466974,6.7142990654205486,8.452754982414993,11.048905109489036,13.332922535211253,16.421854838709667,0,0,0.49026036644165877,1.715658657829329,2.8083204930662564,3.8817270624517994,4.9649532710280235,6.098504672897182,7.452698412698399,9.034259259259247,11.643795620437944,13.763380281690123,16.6190322580645,plate1_A04_20230328,2022-01-12_1,A04,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.5723485457895223,4.194232872597027,32,WT,0.9127232431237996
plate1_A05_20230328.fsa,NA,NA,NA,127.96587914308203,1241,123.96587914308203,876,31,31,22,114.96587914308203,144.96587914308202,129.96587914308202,129.45554265748711,129.96587914308202,1241,-9,20.999999999999986,5.4896635144050805,5.489663514405095,6.505718055860999,7.088569757619069,11.400483481063658,11.400483481063658,-2.5142857142857142,-7.936115107913669,-4.485545722713864,-2.452142857142857,-0.04269406392694031,1.6579439252336456,3.1452054794520548,4.620294599017994,6.153110910730373,7.883132530120468,10.11070336391436,13.237357630979487,15.630476190476172,18.845935483870953,0,0,0.658291956305859,2.014401294498382,3.2584206285253834,4.506219312602284,5.789451476793235,7.181124497991953,8.825684931506837,10.966666666666654,13.874943052391785,16.088202247190996,19.043263157894724,plate1_A05_20230328,2022-01-12_1,A05,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.32485140746451324,4.904575675503864,32,WT,1.0673036888197793
plate1_A06_20230328.fsa,NA,NA,NA,127.94873749962274,1030,123.94873749962274,675,33,33,21,111.94873749962274,143.94873749962272,127.94873749962274,129.345931344185,127.94873749962274,1030,-12,19.999999999999986,5.397193844562267,5.397193844562258,6.747252036725713,7.264871973389021,11.550485436893204,11.550485436893204,-3.2482887367766025,-10.38735294117647,-5.717619047619047,-2.9985781990521327,-0.17896296296296255,1.7526315789473692,3.337281553398059,4.87715736040608,6.5017391304347685,8.345860709592628,10.427285513361449,12.917540687160926,14.771818181818166,17.994590163934408,0,0,0.8042968750000001,2.273041709053917,3.561262135922331,4.8536040609136935,6.2005434782608555,7.675393939393924,9.35422818791945,11.15917721518986,13.440380549682862,15.208266129032243,18.281022727272713,plate1_A06_20230328,2022-01-12_1,A06,CC4,DMSO,NA,NA,NA,CC4,124.55096698198325,0.24050260963331557,4.794964362201753,32,WT,1.0434507468398997
plate1_A07_20230328.fsa,NA,NA,NA,134.60998014791065,1576,130.60998014791065,1003,43,42,33,104.60998014791065,162.60998014791065,141.30045633838685,136.72854325099652,142.10998014791065,1576,-26,32,6.118563103085876,6.118563103085889,7.536065730390752,7.815552031497785,10.603426395939087,10.603426395939087,-4.064931506849315,-26,-3.783646112600536,-1.7208333333333332,0.4343042071197414,2.008090185676393,3.379187817258883,4.729712041884817,6.158589647411852,7.851709027169152,10.227428571428572,14.705517241379312,22.99176470588233,29.712586206896557,0,0,0.6680420711974111,2.024137931034483,3.226586294416244,4.399083769633508,5.619809394145678,6.952888222055513,8.657789473684213,10.983714285714285,15.804035874439462,24.27521739130434,29.940775862068968,plate1_A07_20230328,2022-01-12_1,A07,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,0.591826448061033,6.555243977524498,32,WT,0.9736042054695946
plate1_A08_20230328.fsa,NA,NA,NA,135.57676883901576,1084,130.57676883901576,768,35,35,27,104.57676883901576,156.57676883901576,139.06248312473005,138.95698558965745,139.57676883901576,1084,-26,26,8.380216750641694,8.380216750641695,8.998431409829832,9.529086738949124,16.69741697416974,16.69741697416974,-2.4801678108314262,-6.0778823529411765,-2.4764285714285714,-0.6747395833333332,1.6790697674418604,3.680076263107723,5.640636704119851,7.64688995215311,9.636856875584659,11.736809815950922,14.174709677419356,17.229724770642203,19.518591549295774,23.402075471698115,0,0.20919037199124735,1.2390293225480284,3.088465204957102,4.887638376383764,6.6978927203065135,8.529411764705882,10.355175879396985,12.338775510204083,14.653161290322583,17.569908256880737,19.779718309859152,23.576981132075474,plate1_A08_20230328,2022-01-12_1,A08,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,-0.2313914557422346,8.783686316185424,32,WT,1.3045790463764475
plate1_A09_20230328.fsa,NA,NA,NA,135.51505892256225,1578,130.51505892256225,1124,36,34,26,105.51505892256225,155.51505892256225,138.51505892256225,136.9964136261705,139.01505892256225,1578,-25,25,6.481354703608247,6.481354703608248,7.300217461340206,7.85097499426474,12.811787072243346,12.811787072243346,-2.4434030281182406,-6.701090909090909,-3.4088,-1.6208520179372194,0.6331761006289308,2.3905459387483363,3.99859872611465,5.5777351247600775,7.198899587345253,8.960932944606416,11.118502202643173,14.466788321167884,17.411525423728808,22.397333333333325,0,0,0.8297955974842768,2.3548601864181093,3.771019108280255,5.154830454254639,6.5596479791395055,8.036443148688045,9.682179793158314,11.787444933920705,15.024625267665954,17.926271186440676,22.650416666666672,plate1_A09_20230328,2022-01-12_1,A09,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,0.31764785887130026,6.823114352698468,32,WT,1.0133891051139527
plate1_A10_20230328.fsa,NA,NA,NA,134.5414135740734,1627,130.5414135740734,990,34,28,21,123.5414135740734,150.5414135740734,137.0414135740734,136.871423842771,137.0414135740734,1627,-7,20,6.330010268697606,6.3300102686975865,6.865522847852131,7.345098599599885,11.903503380454824,11.903503380454826,-1.8580760095011877,-5.813411764705882,-2.7169230769230768,-1.051645569620253,1.0663352272727273,2.6772185430463584,4.138557213930349,5.601769911504425,7.1234159779614314,8.763558106169297,10.630956521739131,13.132058823529414,15.11981351981352,18.11227586206896,0,0.049216817807089946,0.9145919208573786,2.389271523178808,3.7235402581438235,5.02629582806574,6.3658376963350785,7.7785123966942145,9.299375975039004,11.052138492871691,13.481764705882354,15.396969696969695,18.27627586206896,plate1_A10_20230328,2022-01-12_1,A10,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,0.24422776325298717,6.698124569298983,32,WT,0.994825253154254
plate1_A11_20230328.fsa,NA,NA,NA,134.42827872724197,1654,130.42827872724197,872,33,31,25,124.42827872724197,154.42827872724197,139.42827872724197,136.94110663153717,139.42827872724197,1654,-6,24,6.512827904295193,6.512827904295186,6.950417987892765,7.3863672307448995,10.468561064087062,10.468561064087062,-1.6761133603238867,-5.1754411764705885,-2.337782805429864,-0.7288990825688073,1.2446428571428574,2.686100386100387,3.9634824667472794,5.249193027759845,6.64721634954193,8.295229357798167,10.515803108808292,14.267757009345797,17.080075187969918,21.82017857142857,0,0.06844225604297226,0.9175470008952552,2.2965250965250967,3.4859129383313183,4.640122324159021,5.844738540994189,7.18856235107228,8.80302752293578,10.99378238341969,14.698831775700937,17.42687969924812,21.98491071428572,plate1_A11_20230328,2022-01-12_1,A11,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,0.601147439188538,6.7678073580651414,32,WT,1.0051747468457461
plate1_A12_20230328.fsa,NA,NA,NA,133.27636028677634,1030,130.27636028677634,783,33,33,25,122.27636028677634,154.27636028677634,138.27636028677634,136.4260276209279,138.27636028677634,1030,-8,24,6.149667334151559,6.14966733415154,7.050642723338286,7.761850501367365,11.780582524271844,11.780582524271844,-2.2496774193548386,-7.223052631578947,-4.003544776119403,-2.1994011976047902,-0.004853128991059941,1.6769628099173561,3.20499001996008,4.804603854389721,6.561111111111111,8.683434650455927,11.396707818930043,15.081639344262298,17.89775510204081,22.036250000000006,0,0,0.6000000000000001,1.9925619834710744,3.2786427145708585,4.635546038543898,6.090579710144928,7.766530612244898,9.796726677577745,12.37161572052402,15.841311475409835,18.451741293532333,22.299545454545445,plate1_A12_20230328,2022-01-12_1,A12,CC5,DMSO,NA,NA,NA,CC5,130.17329927347203,0.3344723648791919,6.2527283474558715,32,WT,0.9286736901958788
plate1_B01_20230328.fsa,NA,NA,NA,131.52448432523482,2017,126.52448432523482,1484,38,37,24,111.52448432523482,149.52448432523482,131.47043027118076,132.36663452100157,131.52448432523482,2017,-15,23,5.842150195766749,5.842150195766728,7.181547881892313,7.789316149024579,13.079325731284085,13.079325731284085,-3.2245216158752656,-10.930287769784172,-5.3667741935483875,-2.902587064676617,-0.1760107816711587,1.8265000000000007,3.6283673469387763,5.32429069188651,7.0221889055472255,8.768569903948773,10.86423258958756,13.953184357541899,16.441047619047616,20.535449438202246,0,0,0.8226941747572817,2.4034538586076635,3.8848979591836743,5.2972623195619715,6.715789473684211,8.145037353255068,9.734480712166173,11.722626582278483,14.678787878787881,16.971619047619043,20.848426966292127,plate1_B01_20230328,2022-01-12_1,B01,CC6,DMSO,NA,NA,NA,CC6,126.68072837422865,0.37248041151698047,5.685906146772922,32,WT,1.0662729005785532
