modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,min_cag,max_cag,mean_cag,weighted_mean_cag,median_cag,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,unique_id,sample_code,cell_line,experiment_code,day,drug,concentration,well,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,repeat_gain,avg_d0_weight
113.89,741,113.89,741,109.89,118.89,114.39,114.37417923125929,114.39,741,-4,5,0,0.4841792312592907,1.946485453387131,1.8969174676831289,3.0715249662618085,3.0715249662618085,-1.4151253596383067,-4,-3.888532110091743,-3.168501529051988,-2.1684,-1.4193693693693694,-0.7414304993252361,-0.10593792172739569,0.5753665689149556,1.3278481012658223,2.216122004357299,3.3156250000000007,3.9845170454545453,4.795260869565217,0,0,0,0,0.24061583577712603,0.6829912023460412,1.154611211573237,1.7001808318264011,2.296078431372549,2.9533769063180833,3.796306818181818,4.344130434782608,4.868826086956521,S-22-336_20220630.fsa,S-22-336,RPE1_481_23,4_004,0,Risdiplam,0,NA,2,FALSE,NA,TRUE,0,114.37417923125929
113.89,700,113.89,700,108.89,118.89,113.89,114.02254511512136,113.89,700,-5,5,-0.35163411613793016,0.13254511512134412,2.096867869736569,1.893587033121917,3.0542857142857143,3.0542857142857143,-1.764815505031681,-5,-4.720275590551181,-3.851025641025641,-2.7166037735849056,-1.8399061032863853,-1.0854460093896712,-0.38928571428571446,0.33643659711075413,1.125594149908592,2.0086956521739134,3.158252427184467,3.9383495145631064,4.782837837837838,0,0,0,0,0.2430176565008025,0.6985553772070627,1.1755027422303475,1.6943327239488117,2.2668192219679635,2.9162471395881013,3.8000000000000003,4.36081081081081,4.872162162162162,S-22-337_20220630.fsa,S-22-337,RPE1_481_23,4_004,0,Risdiplam,0,NA,2,FALSE,NA,TRUE,0,114.37417923125929
114.73666666666666,742,113.73666666666666,710,109.73666666666666,119.73666666666666,114.73666666666666,114.80050062006396,114.73666666666666,742,-4,6,0.4263213888046664,1.0638339533972978,2.2320344625024475,2.316542802091935,3.8962264150943398,3.8962264150943398,-1.3658424908424909,-4,-3.6945804195804195,-2.8690531177829097,-1.7710391822827938,-0.9181690140845072,-0.19887323943661972,0.4979784366576817,1.2100303951367777,1.9861702127659568,2.953612167300381,4.16656976744186,4.908866279069767,5.772008928571428,0,0,0,0.02237196765498662,0.5119946091644205,1.0018237082066872,1.5539513677811552,2.1326996197718633,2.8233840304182505,3.6303030303030304,4.595058139534884,5.1890624999999995,5.8378125,S-22-338_20220630.fsa,S-22-338,RPE1_481_23,4_004,0,Risdiplam,0,NA,2,FALSE,NA,TRUE,0,114.37417923125929
116.14333333333333,561,114.14333333333333,475,110.14333333333333,123.14333333333333,116.64333333333333,116.4554076367389,116.64333333333333,561,-4,9,2.0812284054796066,2.3120743034055726,3.1719298245614036,3.4497533108283562,5.864527629233511,5.864527629233511,-1.4179714091218516,-4,-3.4985955056179776,-2.4397810218978098,-1.06426735218509,-0.03263157894736868,0.8653136531365315,1.7335115864527628,2.636882129277566,3.6089211618257258,4.727272727272728,6.1913580246913575,7.26142857142857,8.571238938053098,0,0,0,0.5446494464944651,1.246524064171123,1.9329768270944743,2.6606463878327,3.428630705394191,4.26953316953317,5.2685015290519885,6.600411522633745,7.5454285714285705,8.659203539823007,S-22-389_20220630.fsa,S-22-389,481_23,4_004,14,Risdiplam,0,1,2,FALSE,NA,NA,2.0812284054796066,114.37417923125929
116.15333333333332,591,114.15333333333332,497,110.15333333333332,122.15333333333332,116.15333333333332,116.22820286364244,116.15333333333332,591,-4,8,1.8540236323831465,2.0748695303091127,2.9700923323966277,3.211602351137235,5.6209813874788495,5.6209813874788495,-1.4240102171136653,-4,-3.487192118226601,-2.5306249999999997,-1.1810473815461346,-0.14366197183098606,0.7396880415944543,1.5888324873096447,2.434752981260647,3.3249999999999993,4.348401826484019,5.654769230769231,6.597816593886462,7.682675159235669,0,0,0,0.4949740034662045,1.1690355329949236,1.8311336717428088,2.4965928449744466,3.187109375,3.9513671875,4.836529680365297,5.983692307692308,6.8312227074235805,7.750764331210191,S-22-390_20220630.fsa,S-22-390,481_23,4_004,14,Risdiplam,0,2,2,FALSE,NA,NA,2.2056577485210767,114.37417923125929
116.13666666666667,713,114.13666666666667,571,110.13666666666667,122.13666666666667,116.13666666666667,116.27413204062789,116.13666666666667,713,-4,8,1.8999528093685996,2.137465373961219,2.9816481994459836,3.218110579016108,5.443197755960729,5.443197755960729,-1.3907586993725043,-4,-3.4153846153846152,-2.42289156626506,-1.057758620689655,-0.03537653239929939,0.8031700288184439,1.6185133239831697,2.4581709145427286,3.354426229508196,4.375869120654397,5.722546419098144,6.68731343283582,7.718243902439024,0,0,0,0.5011527377521613,1.1587657784011218,1.803085553997195,2.4782608695652173,3.182622950819672,3.9357377049180324,4.859304703476483,6.050746268656717,6.907835820895521,7.77590243902439,S-22-391_20220630.fsa,S-22-391,481_23,4_004,14,Risdiplam,0,3,2,FALSE,NA,NA,1.4736314205639331,114.37417923125929
116.08666666666666,543,114.08666666666666,441,110.08666666666666,123.08666666666666,116.58666666666666,116.5587489504618,116.58666666666666,543,-4,9,2.184569719202514,2.4720822837951304,3.263853904282116,3.5479096338613347,6.092081031307551,6.092081031307551,-1.3929098966026587,-4,-3.3377049180327867,-2.3109374999999996,-0.9097505668934238,0.14323809523809514,1.048987108655617,1.9263351749539597,2.8360153256704983,3.7943089430894306,4.860550458715597,6.307296137339057,7.399999999999999,8.612682926829267,0,0,0,0.6270476190476192,1.3486187845303867,2.060153256704981,2.7978927203065136,3.5682926829268293,4.396100917431192,5.354069767441861,6.699141630901288,7.637760416666666,8.686910569105692,S-22-392_20220630.fsa,S-22-392,481_23,4_004,14,Risdiplam,0,4,2,FALSE,NA,NA,2.184569719202514,114.37417923125929
116.06666666666666,865,114.06666666666666,755,110.06666666666666,123.06666666666666,116.56666666666666,116.41937828017763,116.56666666666666,865,-4,9,2.0451990489183345,2.3527116135109676,3.1663302381913603,3.437143814951391,5.897109826589595,5.897109826589595,-1.3617117117117117,-4,-3.373035714285714,-2.3485365853658537,-0.9719205298013245,0.01105826397146257,0.8946492271105827,1.7566473988439308,2.638609112709832,3.6067307692307686,4.746405228758171,6.241755319148937,7.314363636363635,8.593934426229508,0,0,0,0.5210463733650418,1.2240462427745664,1.9137572254335264,2.6258992805755397,3.390934065934066,4.250326797385621,5.277263581488934,6.631382978723405,7.580727272727271,8.673989071038251,S-22-393_20220630.fsa,S-22-393,481_23,4_004,14,Risdiplam,0,5,2,FALSE,NA,NA,2.3968331650562646,114.37417923125929
116.02666666666666,883,114.02666666666666,744,110.02666666666666,123.02666666666666,116.52666666666666,116.34216112816405,116.52666666666666,883,-4,9,1.9679818969047602,2.315494461497398,3.122380888829574,3.3881589888574757,5.809739524348811,5.809739524348811,-1.3592625899280575,-4,-3.3381205673758862,-2.3269879518072285,-0.9749999999999998,0.028051643192488145,0.9075117370892021,1.7593431483578708,2.618433179723502,3.5292405063291135,4.592464678178965,6.06,7.203024193548386,8.576666666666666,0,0,0,0.5382629107981223,1.2354473386183464,1.916421291053228,2.6077188940092166,3.330126582278481,4.113186813186813,5.0776119402985085,6.488985507246377,7.501411290322579,8.660282485875706,S-22-394_20220630.fsa,S-22-394,481_23,4_004,14,Risdiplam,100,1,2,FALSE,NA,NA,1.5416605081000938,114.37417923125929
116.13,768,114.13,583,110.13,123.13,116.63,116.71681084374048,116.63,768,-4,9,2.342631612481185,2.5868108437404813,3.333079500456899,3.6144690347777573,6.001302083333333,6.001302083333333,-1.3826185101580135,-4,-3.272608695652174,-2.1647798742138367,-0.7869639794168095,0.2887591240875913,1.220572916666667,2.0757180156657964,2.9328981723237595,3.867048710601719,4.945973154362417,6.429295774647888,7.485328185328184,8.663282051282051,0,0,0,0.7188321167883212,1.4493489583333332,2.149869451697128,2.851827676240209,3.6077363896848134,4.442785234899328,5.435593220338983,6.764225352112676,7.714864864864864,8.72425641025641,S-22-395_20220630.fsa,S-22-395,481_23,4_004,14,Risdiplam,100,2,2,FALSE,NA,NA,2.342631612481185,114.37417923125929
