modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,min_cag,max_cag,mean_cag,weighted_mean_cag,median_cag,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,unique_id,sample_code,cell_line,experiment_code,day,drug,concentration,well,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,repeat_gain,avg_d0_weight
113.37,1272,113.37,1272,109.37,118.37,113.87,113.6778128767784,113.87,1272,-4,5,-0.09740927525361087,0.307812876778394,1.9260911502290812,1.8175397292525015,3.007075471698113,3.0070754716981134,-1.5016782277914522,-4,-3.9974474474474473,-3.3747747747747745,-2.385153764581124,-1.6032340425531917,-0.905188679245283,-0.2531446540880504,0.4235392320534223,1.1370187561697926,1.955774925962488,3.066917293233083,3.8464285714285706,4.750930930930931,0,0,0,0,0.21460767946577625,0.6400667779632722,1.077492596248766,1.5806515301085884,2.1133511348464618,2.793858477970628,3.6678571428571436,4.234684684684685,4.846936936936937,S-22-296_20220630.fsa,S-22-296,RPE1_481_23,4_002,0,Branaplam,0,NA,1,FALSE,NA,TRUE,0,113.77522215203201
113.42333333333333,1301,113.42333333333333,1301,109.42333333333333,118.42333333333333,113.92333333333333,113.8067748137467,113.92333333333333,1301,-4,5,0.031552661714684405,0.3834414804133621,1.885724585436193,1.7926713499145623,3.048424289008455,3.048424289008455,-1.435032139577594,-4,-3.9113522537562604,-3.21669449081803,-2.227282728272827,-1.4716216216216216,-0.7895465026902382,-0.1498847040737893,0.4943366951124903,1.1718095238095234,1.9643809523809526,3.017254901960785,3.83313725490196,4.74858006042296,0,0,0,0,0.2165244375484872,0.6251357641582624,1.0414285714285716,1.543047619047619,2.0596692111959287,2.7297709923664124,3.6162745098039215,4.204380664652567,4.8408761329305134,S-22-297_20220630.fsa,S-22-297,RPE1_481_23,4_002,0,Branaplam,0,NA,1,FALSE,NA,TRUE,0,113.77522215203201
113.42333333333333,1201,113.42333333333333,1201,109.42333333333333,118.42333333333333,113.92333333333333,113.83241251827013,113.92333333333333,1201,-4,5,0.05719036623811746,0.40907918493680673,1.9476399277792107,1.8616544417277914,3.0865945045795167,3.086594504579517,-1.4739313071410922,-4,-3.9694827586206896,-3.3010344827586207,-2.292343934040047,-1.496466093600764,-0.7871773522064943,-0.1415487094088258,0.5478733031674206,1.2783047426841567,2.0816824966078697,3.1856873822975524,3.915819209039547,4.773935860058309,0,0,0,0,0.2456108597285067,0.6897737556561087,1.1493440968718465,1.64460141271443,2.1880597014925374,2.8540027137042068,3.72165725047081,4.284548104956268,4.856909620991254,S-22-298_20220630.fsa,S-22-298,RPE1_481_23,4_002,0,Branaplam,0,NA,1,FALSE,NA,TRUE,0,113.77522215203201
113.30333333333334,1243,113.30333333333334,1243,109.30333333333334,118.30333333333334,113.80333333333334,113.77522215203201,113.80333333333334,1243,-4,5,0,0.4718888186986734,1.9061276058117498,1.8327166504381693,3.13113435237329,3.1311343523732904,-1.4108873974645786,-4,-3.890391791044776,-3.15205223880597,-2.126691266912669,-1.370658135283364,-0.6894609814963797,-0.05269509251810167,0.6004962779156323,1.3000972762645908,2.090225563909775,3.1228893058161358,3.865384615384615,4.75570987654321,0,0,0,0,0.2460711331679073,0.6708023159636064,1.1123540856031129,1.6118677042801552,2.143483709273182,2.786967418546366,3.644465290806755,4.207561728395062,4.841512345679012,S-22-299_20220630.fsa,S-22-299,RPE1_481_23,4_002,0,Branaplam,0,NA,1,FALSE,NA,TRUE,0,113.77522215203201
113.33333333333333,1204,113.33333333333333,1204,109.33333333333333,118.33333333333333,113.83333333333333,113.76540203366658,113.83333333333333,1204,-4,5,-0.009820118365439612,0.43206870033324785,1.9196359907715972,1.8384769539078156,3.144518272425249,3.144518272425249,-1.4449701195219125,-4,-3.909391304347826,-3.2309565217391305,-2.2171704957678355,-1.4397388059701495,-0.7435215946843854,-0.09551495016611311,0.5739430543572042,1.279414634146341,2.054664914586072,3.1162523900573618,3.8621414913957928,4.754654088050314,0,0,0,0,0.25280414150129416,0.6833477135461605,1.128780487804878,1.6156097560975609,2.1379763469119575,2.7936925098554535,3.653919694072658,4.215408805031446,4.843081761006289,S-22-300_20220630.fsa,S-22-300,RPE1_481_23,4_002,0,Branaplam,0,NA,1,FALSE,NA,TRUE,0,113.77522215203201
115.39333333333333,644,113.39333333333333,528,109.39333333333333,121.39333333333333,115.39333333333333,115.48438066273839,115.39333333333333,644,-4,8,1.7091585107063736,2.091047329405056,2.9578026991066335,3.2010122921185826,5.442546583850932,5.442546583850931,-1.3902439024390245,-4,-3.4329493087557603,-2.461464968152866,-1.1356009070294784,-0.11685606060606069,0.7478260869565219,1.5737577639751552,2.408441558441558,3.3016791044776115,4.3497695852534575,5.7110787172011666,6.6210227272727264,7.677239263803681,0,0,0,0.4859903381642513,1.1486024844720497,1.792857142857143,2.4569805194805197,3.15,3.9240671641791045,4.862211981566821,6.045833333333333,6.8316287878787865,7.745460122699386,S-22-357_20220630.fsa,S-22-357,RPE1_481_23,4_002,14,Branaplam,0,1,1,FALSE,NA,NA,1.8065677859599845,113.77522215203201
115.60333333333334,686,113.60333333333334,561,109.60333333333334,121.60333333333334,115.60333333333334,115.55824000492824,115.60333333333334,686,-4,8,1.7830178528962222,1.9549066715948993,2.8678617630752172,3.0875532418362517,5.160349854227405,5.160349854227405,-1.4146620847651776,-4,-3.532112068965517,-2.56089552238806,-1.225438596491228,-0.2187165775401071,0.6291729323308274,1.4293002915451896,2.233021806853582,3.090018484288354,4.116467780429595,5.535736677115988,6.527801724137929,7.66391304347826,0,0,0,0.4273684210526316,1.060932944606414,1.676967930029155,2.3130841121495327,2.9713395638629283,3.7471349353049908,4.682100238663485,5.907210031347963,6.783189655172414,7.737515527950311,S-22-358_20220630.fsa,S-22-358,RPE1_481_23,4_002,14,Branaplam,0,2,1,FALSE,NA,NA,1.7514651911815378,113.77522215203201
115.61666666666667,688,113.61666666666667,596,109.61666666666667,121.61666666666667,115.61666666666667,115.53941102756893,115.61666666666667,688,-4,8,1.7641888755369166,1.9227443609022556,2.812593984962406,3.0264296011532914,5.049418604651163,5.049418604651163,-1.3494868871151655,-4,-3.4633027522935778,-2.493865030674846,-1.2021505376344084,-0.2651006711409398,0.5753846153846154,1.372093023255814,2.156494522691706,2.98904538341158,4.062953995157385,5.475409836065574,6.495327102803738,7.663291139240506,0,0,0,0.3636923076923078,1.003779069767442,1.6087209302325582,2.2300469483568075,2.881377151799687,3.6821643286573145,4.623728813559323,5.855081967213115,6.765887850467289,7.736582278481012,S-22-359_20220630.fsa,S-22-359,RPE1_481_23,4_002,14,Branaplam,0,3,1,FALSE,NA,NA,1.7069985092987991,113.77522215203201
115.67333333333333,1057,113.67333333333333,818,110.67333333333333,121.67333333333333,116.17333333333333,116.09719518576661,116.17333333333333,1057,-3,8,2.3219730337345936,2.423861852433281,3.014128728414443,3.265554749818709,5.52317880794702,5.52317880794702,-1.1088929219600727,-3,-2.745619658119658,-1.895505617977528,-0.6696821515892419,0.27946161515453627,1.0997161778618734,1.8831598864711445,2.6691358024691354,3.528303964757709,4.527440633245383,5.818641114982579,6.741507177033492,7.72937908496732,0,0,0,0.559322033898305,1.2341532639545882,1.8864711447492906,2.5408357075023744,3.2268722466960353,3.9862334801762116,4.8931398416886545,6.082535885167465,6.907296650717702,7.7746732026143786,S-22-360_20220630.fsa,S-22-360,RPE1_481_23,4_002,14,Branaplam,0,4,1,FALSE,NA,NA,2.3219730337345936,113.77522215203201
115.63666666666667,870,113.63666666666667,694,110.63666666666667,121.63666666666667,116.13666666666667,115.93607869742198,116.13666666666667,870,-3,8,2.1608565453899615,2.2994120307553145,2.9356249057741595,3.187442628970075,5.260919540229885,5.260919540229885,-1.122340425531915,-3,-2.8412303664921463,-1.9806754221388367,-0.7974063400576367,0.13353584447144595,0.9394896719319566,1.7051724137931035,2.4997542997543,3.3690201729106626,4.415101289134439,5.791075514874143,6.723945783132529,7.723624999999999,0,0,0,0.4804374240583233,1.1345977011494253,1.7606896551724138,2.4133906633906634,3.096829971181556,3.8817002881844376,4.851933701657459,6.08222891566265,6.902560240963854,7.773041666666666,S-22-361_20220630.fsa,S-22-361,RPE1_481_23,4_002,14,Branaplam,0,5,1,FALSE,NA,NA,2.170676663755401,113.77522215203201
