Well,Time,Region,Min,Max,Mean,Median,Mode,StDev,drug_conc
B2,20,65,23,69,25.768553904551215,24,23,3.989492468692858,500 nM Ris
B2,20,28,23,69,25.796077553009223,24,23,3.918615154389176,500 nM Ris
B2,20,23,23,69,26.082146236193353,25,23,4.367007282698954,500 nM Ris
B2,20,61,23,69,25.892034738809095,25,23,3.9354911749648234,500 nM Ris
B2,20,71,23,69,25.923212857749306,25,23,4.104907858169249,500 nM Ris
B2,20,72,23,69,25.61869071672997,24,23,3.831285396093723,500 nM Ris
B2,20,42,23,69,26.182881201204474,25,23,4.526663613565124,500 nM Ris
B2,20,70,23,69,25.968682687213107,25,23,4.056385139588184,500 nM Ris
B2,20,64,23,69,25.304578798702547,24,23,3.325558407552068,500 nM Ris
B2,20,78,23,69,25.83092886500813,24,23,3.9724520004426536,500 nM Ris
B2,20,18,23,69,25.56844431217309,24,23,3.7195260088111346,500 nM Ris
B2,20,63,23,69,25.944822159806485,25,23,4.14996475540103,500 nM Ris
B2,20,58,23,69,26.08646793411103,25,23,4.581016564784805,500 nM Ris
B2,20,3,23,69,25.631293212126497,24,23,3.799294016610698,500 nM Ris
B2,20,52,23,69,26.16916054112164,25,23,4.324189694114079,500 nM Ris
B2,20,68,23,69,25.80225072650642,24,23,4.080347828959565,500 nM Ris
B2,20,10,23,69,25.643682499502077,24,23,3.809983603924194,500 nM Ris
B2,20,66,23,69,25.857784276621366,24,23,4.118703698383812,500 nM Ris
B2,20,80,23,69,25.67083108799173,24,23,3.8968022747319897,500 nM Ris
B2,20,2,23,69,25.542092289659216,24,23,3.9679652196970574,500 nM Ris
B2,20,7,23,69,25.691022756431327,24,23,3.8392224459449262,500 nM Ris
B2,20,37,23,69,25.7151981145284,24,23,3.8956050948623577,500 nM Ris
B2,20,41,23,69,29.13836309822228,26,23,8.308619764167982,500 nM Ris
B2,20,74,23,69,25.745733395626218,24,23,4.062181817899718,500 nM Ris
B2,20,62,23,69,25.872214748841273,25,23,4.093225058472443,500 nM Ris
B2,20,50,23,69,25.97309998684136,25,23,4.227607613613858,500 nM Ris
B2,20,13,23,69,26.038151538713706,25,23,4.206576781985863,500 nM Ris
B2,20,27,23,69,25.97419413115854,25,23,4.130617958067156,500 nM Ris
B2,20,39,23,69,25.889500685393948,24,23,4.110615134210362,500 nM Ris
B2,20,79,23,69,26.016810013351765,25,23,4.1372052788071025,500 nM Ris
B2,20,81,23,69,27.599797810728475,25,23,7.372856245285982,500 nM Ris
B2,20,6,23,69,26.013553754111992,25,23,4.296351929824009,500 nM Ris
B2,20,54,23,69,26.029909999057583,25,23,4.363166318152607,500 nM Ris
B2,20,56,23,69,25.8855712330396,24,23,4.119375786487941,500 nM Ris
B2,20,5,23,69,25.674523425738133,24,23,3.799637811135197,500 nM Ris
B2,20,9,23,69,30.541932961920985,27,25,9.119677985251997,500 nM Ris
B2,20,26,23,69,25.99673384724931,25,23,4.122608733733849,500 nM Ris
B2,20,69,23,69,25.949513262612484,25,23,4.104092093280621,500 nM Ris
B2,20,77,23,69,25.708930971346156,24,23,3.91768303238919,500 nM Ris
B2,20,30,23,69,25.892903272753735,25,23,4.030687843532956,500 nM Ris
B2,20,32,23,69,25.74745232677286,24,23,3.9207563338455342,500 nM Ris
B2,20,45,23,69,26.08258333721509,25,23,4.41266992417762,500 nM Ris
B2,20,55,23,69,25.57847090018311,24,23,3.75024017816238,500 nM Ris
B2,20,33,23,69,25.951274315613514,25,23,3.99832644612141,500 nM Ris
B2,20,8,23,69,25.59497380848304,24,23,3.6971797125736625,500 nM Ris
B2,20,31,23,69,25.975216094030067,25,23,4.225994513927983,500 nM Ris
B2,20,75,23,69,25.76912542982399,24,23,3.984642510802987,500 nM Ris
B2,20,76,23,69,25.763188919021896,24,23,3.904185910821179,500 nM Ris
B2,20,38,23,69,26.002398842069873,25,23,4.214096884348654,500 nM Ris
B2,20,25,23,69,26.020896840470073,25,23,4.100685315189873,500 nM Ris
B2,20,16,23,69,25.868728601212677,25,23,4.004671733880862,500 nM Ris
B2,20,44,23,69,26.063700588274404,25,23,4.1992301885005405,500 nM Ris
B2,20,21,23,69,25.95339966410504,25,23,4.233673351289515,500 nM Ris
B2,20,73,23,69,25.464203137858828,24,23,3.390294796352223,500 nM Ris
B2,20,11,23,69,25.829659113437863,24,23,3.9693097109783713,500 nM Ris
B2,20,4,23,69,25.730018819882652,24,23,3.836980962234508,500 nM Ris
B2,20,19,23,69,25.83358973811792,24,23,3.978407028747619,500 nM Ris
B2,20,20,23,69,25.90283407336441,25,23,4.027841812222761,500 nM Ris
B2,20,59,23,69,25.8464338421264,24,23,4.023872489714484,500 nM Ris
B2,20,12,23,69,25.864292668828725,24,23,4.062491961157479,500 nM Ris
B2,20,46,23,69,25.917958884392903,24,23,4.1761823229905515,500 nM Ris
B2,20,24,23,69,26.21398804778032,25,23,4.428727310848762,500 nM Ris
B2,20,60,23,69,25.96415512830367,25,23,4.201760730500326,500 nM Ris
B2,20,34,23,69,25.969369738712142,25,23,4.061548086846041,500 nM Ris
B2,20,29,23,69,25.79341621585469,24,23,3.9956308694402183,500 nM Ris
A3,20,23,23,69,24.36807027999679,24,23,2.394064713076408,200 nM Bran.
A3,20,66,23,69,24.487018519583295,24,23,2.6684084173399536,200 nM Bran.
A3,20,42,23,69,24.71490035540077,24,23,3.167573327861646,200 nM Bran.
A3,20,34,23,69,24.50401068171512,24,23,2.641783686925911,200 nM Bran.
A3,20,26,23,69,24.47933350112113,24,23,2.626791348187853,200 nM Bran.
A3,20,35,23,69,24.585005670766463,24,23,2.8036792370418704,200 nM Bran.
A3,20,57,23,69,24.46247696981274,24,23,2.6101605129317478,200 nM Bran.
A3,20,77,23,69,24.46072875537587,24,23,2.4870420229389794,200 nM Bran.
A3,20,38,23,69,24.47045676004872,24,23,2.715519844381809,200 nM Bran.
A3,20,5,23,69,24.513920786494214,24,23,2.6867415459823034,200 nM Bran.
A3,20,46,23,69,24.428505293760907,24,23,2.5077154312519334,200 nM Bran.
A3,20,49,23,69,24.796835657500324,24,23,3.579598329115408,200 nM Bran.
A3,20,1,23,69,24.28833462518808,24,23,2.016358348465746,200 nM Bran.
A3,20,37,23,69,24.460427138665512,24,23,2.824289260658686,200 nM Bran.
A3,20,33,23,69,24.572182848656265,24,23,2.818059237890908,200 nM Bran.
A3,20,24,23,69,24.479151723688236,24,23,2.462066787088387,200 nM Bran.
A3,20,51,23,69,24.68093734553268,24,23,3.2004711336798777,200 nM Bran.
A3,20,61,23,69,24.50861030008724,24,23,2.477091534715328,200 nM Bran.
A3,20,72,23,69,24.383043315907393,24,23,2.5456290055645145,200 nM Bran.
A3,20,74,23,69,24.386947251867035,24,23,2.4191267425752625,200 nM Bran.
A3,20,6,23,69,24.3799131725961,24,23,2.3960055785240515,200 nM Bran.
A3,20,39,23,69,24.553155550727787,24,23,2.834775748549341,200 nM Bran.
A3,20,68,23,69,24.455580614388673,24,23,2.4614993723271956,200 nM Bran.
A3,20,28,23,69,24.372796086033414,24,23,2.509402763671859,200 nM Bran.
A3,20,30,23,69,24.53873211666167,24,23,2.730658527792854,200 nM Bran.
A3,20,59,23,69,24.490653559441352,24,23,2.6103769977273727,200 nM Bran.
A3,20,9,23,69,24.505084022115533,24,23,2.1034563658230883,200 nM Bran.
A3,20,15,23,69,24.46961009174312,24,23,2.5629694001135186,200 nM Bran.
A3,20,18,23,69,24.428831119303375,24,23,2.815328098579557,200 nM Bran.
A3,20,67,23,69,24.445902119047037,24,23,2.521949941320315,200 nM Bran.
A3,20,10,23,69,24.315559571305162,24,23,2.143362979105874,200 nM Bran.
A3,20,40,23,69,24.6723250893088,24,23,3.1780106504860774,200 nM Bran.
A3,20,44,23,69,24.562851661453195,24,23,2.7413392456884003,200 nM Bran.
A3,20,8,23,69,24.394334798410956,24,23,2.4313321306659006,200 nM Bran.
A3,20,12,23,69,24.53815675234813,24,23,2.6697622730099715,200 nM Bran.
A3,20,52,23,69,24.58273824587657,24,23,2.8207268766922193,200 nM Bran.
A3,20,29,23,69,24.41870389084074,24,23,2.4972168541259383,200 nM Bran.
A3,20,22,23,69,24.497339172613543,24,23,2.713311949463358,200 nM Bran.
A3,20,63,23,69,24.594859366466412,24,23,2.829396476080791,200 nM Bran.
A3,20,31,23,69,24.47087897117323,24,23,2.786861165682069,200 nM Bran.
A3,20,43,23,69,24.627475886568767,24,23,2.8949086127192314,200 nM Bran.
A3,20,60,23,69,24.532019326267505,24,23,2.633395029305379,200 nM Bran.
A3,20,19,23,69,24.404654026674105,24,23,2.581964515198475,200 nM Bran.
A3,20,2,23,69,24.454668743647403,24,23,2.4879619571106177,200 nM Bran.
A3,20,41,23,69,26.50075742566713,24,23,6.323423904213585,200 nM Bran.
A3,20,56,23,69,24.53267879840359,24,23,2.671071996127708,200 nM Bran.
A3,20,75,23,69,24.452072749007385,24,23,2.7696270667834124,200 nM Bran.
A3,20,78,23,69,24.50053650571495,24,23,2.5502584640133934,200 nM Bran.
A3,20,17,23,69,24.466996082343528,24,23,2.5666919430262465,200 nM Bran.
A3,20,13,23,69,24.614322669730058,24,23,3.3112893948916313,200 nM Bran.
A3,20,64,23,69,24.275427423106848,24,23,1.9147405773578912,200 nM Bran.
A3,20,11,23,69,24.419659253016427,24,23,2.4499940679048606,200 nM Bran.
A3,20,47,23,69,24.524088581147012,24,23,2.795140377108824,200 nM Bran.
A3,20,27,23,69,24.52246654791506,24,23,2.6958790686979164,200 nM Bran.
A3,20,76,23,69,24.51984271949155,24,23,2.509854028132642,200 nM Bran.
A3,20,73,23,69,24.342606839530823,24,23,2.033433977950496,200 nM Bran.
A3,20,20,23,69,24.59029400448561,24,23,3.0599212372204496,200 nM Bran.
A3,20,36,23,69,24.392207229512255,24,23,2.571777779680877,200 nM Bran.
A3,20,3,23,69,24.46296303366025,24,23,2.5416943680539292,200 nM Bran.
A3,20,25,23,69,24.530029109395368,24,23,2.697626681371441,200 nM Bran.
A3,20,71,23,69,24.477345547373176,24,23,2.5888562399077983,200 nM Bran.
A3,20,54,23,69,24.892067591742364,24,23,3.003620603674668,200 nM Bran.
A3,20,65,23,69,24.447672240738427,24,23,2.6706744244287166,200 nM Bran.
A3,20,79,23,69,24.44792250828448,24,23,2.435910283538967,200 nM Bran.
A3,20,48,23,69,24.551097749840576,24,23,2.7699873815094387,200 nM Bran.
A3,20,50,23,69,24.462815870907928,24,23,2.681755735070642,200 nM Bran.
A3,20,53,23,69,24.546809104358953,24,23,2.584473355018153,200 nM Bran.
A3,20,55,23,69,24.38306099586665,24,23,2.316637164267799,200 nM Bran.
A3,20,69,23,69,24.610143778567306,24,23,3.014168626066851,200 nM Bran.
A3,20,4,23,69,24.459565713921904,24,23,2.4501089004272956,200 nM Bran.
A3,20,16,23,69,24.50127076654037,24,23,2.698846567507213,200 nM Bran.
A3,20,32,23,69,24.599078632163636,24,23,3.0240471789933747,200 nM Bran.
A3,20,62,23,69,24.527408150867647,24,23,2.503888888158592,200 nM Bran.
A3,20,21,23,69,24.572572357128635,24,23,2.865004716155917,200 nM Bran.
A3,20,81,23,69,24.645015348988192,24,23,3.5697405941473046,200 nM Bran.
A3,20,70,23,69,24.56049221333831,24,23,2.785115709764918,200 nM Bran.
A3,20,80,23,69,24.380965691963652,24,23,2.3290564190662177,200 nM Bran.
A3,20,58,23,69,24.47165560656576,24,23,2.6070845693694045,200 nM Bran.
A3,20,45,23,69,24.56924392599248,24,23,2.854421707340213,200 nM Bran.
A3,20,7,23,69,25.15282236825604,24,23,3.061665046495411,200 nM Bran.
A3,20,14,23,69,24.474042390803135,24,23,2.631574314625589,200 nM Bran.
B1,20,33,23,69,24.390880243557024,24,23,2.53571461223357,300 nM Bran.
B1,20,44,23,69,24.572813103497605,24,23,2.735555679947772,300 nM Bran.
B1,20,78,23,69,24.556125593147225,24,23,3.009446043810159,300 nM Bran.
B1,20,3,23,69,24.299859447950514,24,23,2.298749329320581,300 nM Bran.
B1,20,80,23,69,24.389732331910377,24,23,2.7854750780056223,300 nM Bran.
B1,20,48,23,69,24.544407383620957,24,23,2.7471272807599902,300 nM Bran.
B1,20,9,23,69,24.61010456384109,24,23,3.7201122502052617,300 nM Bran.
B1,20,62,23,69,24.639361485799498,24,23,3.3097274187362813,300 nM Bran.
B1,20,10,23,69,24.241424239552735,24,23,2.114228678503532,300 nM Bran.
B1,20,17,23,69,24.471693064386653,24,23,2.750788583487364,300 nM Bran.
B1,20,45,23,69,24.48717804656837,24,23,2.5899788958489967,300 nM Bran.
B1,20,52,23,69,24.49352730859327,24,23,2.8474966171706972,300 nM Bran.
B1,20,59,23,69,24.498502201250407,24,23,2.8185558566140028,300 nM Bran.
B1,20,15,23,69,24.65294952825868,24,23,3.199612810800092,300 nM Bran.
B1,20,32,23,69,24.475908286585597,24,23,2.740914077688823,300 nM Bran.
B1,20,6,23,69,24.465570954071698,24,23,2.8340401149067147,300 nM Bran.
B1,20,1,23,69,24.231105214392876,24,23,1.8313366675143152,300 nM Bran.
B1,20,18,23,69,24.292989451800352,24,23,2.467994560736248,300 nM Bran.
B1,20,39,23,69,24.645068337430935,24,23,3.25741399914647,300 nM Bran.
B1,20,8,23,69,24.29508449145775,24,23,2.5393437905465044,300 nM Bran.
B1,20,11,23,69,24.452494961799495,24,23,2.757410727699327,300 nM Bran.
B1,20,49,23,69,24.55135353477066,24,23,3.0938675482671467,300 nM Bran.
B1,20,21,23,69,24.498308956928796,24,23,2.6795138716758826,300 nM Bran.
B1,20,47,23,69,24.462770731586534,24,23,2.653095944797072,300 nM Bran.
B1,20,58,23,69,24.427868811942364,24,23,2.5098771877422132,300 nM Bran.
B1,20,14,23,69,24.48793430570378,24,23,2.7211319612311087,300 nM Bran.
B1,20,26,23,69,24.34233238183305,24,23,2.3963519048935225,300 nM Bran.
B1,20,46,23,69,24.459038405450173,24,23,2.625470981163191,300 nM Bran.
