exp,drug_conc,Elapsed,mean_count,std_dev,number,upper,lower
Branaplam,100,40,23.708333333333332,11.219079892004888,24,28.19690011609206,19.219766550574604
Branaplam,100,42,23.083333333333332,10.337423220540973,24,27.21916398376888,18.947502682897785
Branaplam,100,44,21.958333333333332,10.318742620850774,24,26.086690187338284,17.82997647932838
Branaplam,100,46,20.541666666666668,8.958741985960668,24,24.125909945132438,16.957423388200898
Branaplam,100,48,19.708333333333332,8.941739771707043,24,23.28577430939402,16.130892357272643
Branaplam,100,50,19.416666666666668,8.85102139361017,24,22.95781273241109,15.875520600922247
Branaplam,100,52,18.375,8.112322886121808,24,21.620605110951097,15.129394889048903
Branaplam,100,54,17,7.424987190737012,24,19.970613560787775,14.029386439212223
Branaplam,100,56,16.791666666666668,6.801401177038044,24,19.512793861885662,14.070539471447674
Branaplam,100,58,15.5,6.460582824697986,24,18.084771455711486,12.915228544288516
Branaplam,100,60,14.958333333333334,6.623273633422404,24,17.60819466869003,12.30847199797664
Branaplam,100,62,13.791666666666666,5.6873556678612625,24,16.067082830757702,11.51625050257563
Branaplam,100,64,13.041666666666666,5.629728286490401,24,15.29402707642771,10.789306256905622
Branaplam,100,66,12.583333333333334,5.40464105445831,24,14.74564009496568,10.421026571700988
Branaplam,100,68,11.958333333333334,5.0085072554141545,24,13.962153567636044,9.954513099030624
Branaplam,100,70,11.291666666666666,5.2872214011640875,24,13.406995783029272,9.17633755030406
Branaplam,100,72,9.916666666666666,4.605447310255132,24,11.759229338075059,8.074103995258273
Branaplam,100,74,9,4.22209509089051,24,10.689189840971281,7.310810159028719
Branaplam,100,76,8.041666666666666,4.101740528399967,24,9.682704654139382,6.40062867919395
Branaplam,100,78,7.291666666666667,3.556734783314688,24,8.714656943689816,5.868676389643519
Branaplam,100,80,6.333333333333333,3.5221864092420314,24,7.742501381996083,4.9241652846705835
Branaplam,100,82,6.25,3.3264421521055114,24,7.580854035485528,4.919145964514472
Branaplam,100,84,5.25,3.053864266224309,24,6.471800168674859,4.028199831325141
Branaplam,250,0,43.333333333333336,19.184837007764564,24,51.008866706356116,35.657799960310555
Branaplam,250,2,44.416666666666664,20.045419441351438,24,52.43650472085822,36.39682861247511
Branaplam,250,4,42.833333333333336,19.555198723138798,24,50.657042252767816,35.009624413898855
Branaplam,250,6,43.875,20.568681342611953,24,52.10418641531294,35.64581358468706
Branaplam,250,8,43.458333333333336,19.653474450361557,24,51.32136073244794,35.59530593421873
Branaplam,250,10,41.041666666666664,18.397729459782866,24,48.40229143503221,33.68104189830112
Branaplam,250,12,41.041666666666664,19.863620158397648,24,48.988769859314246,33.09456347401908
Branaplam,250,14,39.375,19.63982754728148,24,47.232567500759096,31.517432499240904
Branaplam,250,16,38.791666666666664,18.930029437186665,24,46.365255779705485,31.218077553627847
Branaplam,250,18,37.75,18.29290667943749,24,45.06868692190543,30.431313078094572
Branaplam,250,20,36.083333333333336,18.22782552002311,24,43.375982368607886,28.790684298058785
Branaplam,250,22,35.208333333333336,17.67823315651855,24,42.28109962861221,28.13556703805446
Branaplam,250,24,34.416666666666664,17.524930482195845,24,41.42809911832407,27.40523421500926
Branaplam,250,26,33.041666666666664,15.619049591602158,24,39.290587955219706,26.792745378113622
Branaplam,250,28,31.541666666666668,14.687999143538228,24,37.41809019653715,25.665243136796185
Branaplam,250,30,30.375,13.996311625940413,24,35.974690888207874,24.77530911179213
Branaplam,250,32,30.041666666666668,13.681085536216612,24,35.51524085287998,24.56809248045336
Branaplam,250,34,27.916666666666668,13.451738748664384,24,33.29848302761723,22.534850305716105
Branaplam,250,36,27.375,14.045926223580304,24,32.99454086138304,21.75545913861696
Branaplam,250,38,26.25,13.109074188780706,24,31.494721984591003,21.005278015408997
Branaplam,250,40,25.708333333333332,12.712469628595814,24,30.794380446912392,20.622286219754272
Branaplam,250,42,24.583333333333332,12.472288122653868,24,29.573287831494593,19.59337883517207
Branaplam,250,44,23.583333333333332,12.07914720091817,24,28.41599870446881,18.750667962197856
Branaplam,250,46,22.458333333333332,11.174424084631315,24,26.929034072212907,17.987632594453757
Branaplam,250,48,21,10.902732007042607,24,25.36200126919557,16.63799873080443
Branaplam,250,50,20.666666666666668,10.217915496883368,24,24.75468426969938,16.578649063633957
Branaplam,250,52,18.916666666666668,9.59581732552926,24,22.75579316504249,15.077540168290845
Branaplam,250,54,17.541666666666668,8.973289671922549,24,21.1317302316981,13.951603101635238
Branaplam,250,56,17.291666666666668,9.17690469113333,24,20.963193205533557,13.62014012779978
Branaplam,250,58,17,9.623341189637511,24,20.85013833743559,13.149861662564408
Branaplam,250,60,15.708333333333334,8.725171814262788,24,19.199129080966074,12.217537585700594
Branaplam,250,62,15.583333333333334,8.298332292730853,24,18.903357706097605,12.263308960569063
Branaplam,250,64,14.458333333333334,8.627454492171648,24,17.91003400986751,11.006632656799159
Branaplam,250,66,13.541666666666666,8.054052000278395,24,16.763958567878962,10.31937476545437
Branaplam,250,68,13.208333333333334,7.689513846037719,24,16.284779597833577,10.131887068833093
Branaplam,250,70,12.541666666666666,7.265039373702614,24,15.448287773044077,9.635045560289255
Branaplam,250,72,11.791666666666666,6.440221213231912,24,14.36829178116748,9.215041552165852
Branaplam,250,74,11.208333333333334,6.071882214205774,24,13.637592156503828,8.77907451016284
Branaplam,250,76,10.875,6.687512698078152,24,13.550562313916867,8.199437686083133
Branaplam,250,78,10.291666666666666,5.8046395736264405,24,12.61400616570471,7.969327167628622
Branaplam,250,80,9.75,5.847704863783145,24,12.089569203501153,7.410430796498847
Branaplam,250,82,9.541666666666666,5.860547286111906,24,11.886373909189727,7.196959424143605
Branaplam,250,84,8.541666666666666,5.5166086515623665,24,10.748769796801989,6.334563536531343
Branaplam,500,0,40.791666666666664,18.24704661431344,24,48.092005741248386,33.49132759208494
Branaplam,500,2,42.458333333333336,18.137108648980618,24,49.714688061238945,35.201978605427726
Branaplam,500,4,43.666666666666664,19.09169331471644,24,51.30493480130415,36.02839853202918
Branaplam,500,6,43.25,19.713711846900082,24,51.13712737699028,35.36287262300972
Branaplam,500,8,43.25,20.8311013297112,24,51.584176276207415,34.915823723792585
Branaplam,500,10,41.791666666666664,19.15833152095105,24,49.456595636403506,34.12673769692982
Branaplam,500,12,40.125,19.454098707515058,24,47.90826048906111,32.34173951093889
Branaplam,500,14,38.666666666666664,17.402315354864275,24,45.629042850528315,31.704290482805018
Branaplam,500,16,37.5,18.23279415253448,24,44.79463690228869,30.205363097711313
Branaplam,500,18,38.375,18.756593043745863,24,45.879200104134924,30.870799895865076
Branaplam,500,20,38.416666666666664,19.307391390833732,24,46.14123200471875,30.692101328614577
Branaplam,500,22,37.916666666666664,19.087707555129427,24,45.5533401653573,30.279993167976027
Branaplam,500,24,36.416666666666664,18.957427514592123,24,44.001217293603005,28.832116039730327
Branaplam,500,26,36.25,18.42788529706377,24,43.62268961600263,28.87731038399737
Branaplam,500,28,33.833333333333336,18.12916618784953,24,41.08651041498368,26.580156251682993
Branaplam,500,30,33.083333333333336,17.929612781450512,24,40.256672424705414,25.909994241961257
Branaplam,500,32,31.583333333333332,16.500109793222766,24,38.18475211657159,24.981914550095077
Branaplam,500,34,30.791666666666668,15.86075048026106,24,37.13728845032633,24.446044883007005
Branaplam,500,36,29.75,14.862412467288953,24,35.69620339230073,23.80379660769927
Branaplam,500,38,28.666666666666668,14.645571126562064,24,34.526115454446824,22.80721787888651
Branaplam,500,40,27.666666666666668,13.675324228464317,24,33.13793584972008,22.195397483613256
Branaplam,500,42,26.375,13.786611337595364,24,31.89079329966576,20.85920670033424
Branaplam,500,44,25.416666666666668,13.602802354076088,24,30.858921057104656,19.97441227622868
Branaplam,500,46,24.541666666666668,13.663595448479516,24,30.008243360429617,19.07508997290372
Branaplam,500,48,23.916666666666668,13.151018035206205,24,29.178169684784386,18.65516364854895
Branaplam,500,50,22.833333333333332,12.29586946080274,24,27.75270566673008,17.913960999936585
Branaplam,500,52,22.25,13.012535761968985,24,27.456098569835245,17.043901430164755
Branaplam,500,54,20.916666666666668,11.930657136559786,24,25.68992363917547,16.143409694157867
Branaplam,500,56,20.583333333333332,11.872206002353515,24,25.333204981739055,15.83346168492761
Branaplam,500,58,19.625,11.293755488918567,24,24.14344324384252,15.106556756157483
Branaplam,500,60,18.916666666666668,11.220775245117839,24,23.405911731935287,14.427421601398049
Branaplam,500,62,18.666666666666668,11.169316146855447,24,23.135323804818743,14.198009528514593
Branaplam,500,64,18.541666666666668,11.029522306919759,24,22.95439462057104,14.128938712762295
Branaplam,500,66,18.125,10.143802991503472,24,22.183366425481843,14.066633574518157
Branaplam,500,68,17.416666666666668,9.347944050485888,24,21.15662320107012,13.676710132263219
Branaplam,500,70,17.708333333333332,9.470683216099573,24,21.497395761180833,13.91927090548583
Branaplam,500,72,16.375,9.020809276334358,24,19.98407536635078,12.765924633649222
Branaplam,500,74,15.958333333333334,8.492857186389383,24,19.35618387228059,12.560482794386079
Branaplam,500,76,15.708333333333334,8.609798092197389,24,19.152969978664373,12.263696688002293
Branaplam,500,78,15.458333333333334,8.356092110688994,24,18.80146644609774,12.115200220568926
Branaplam,500,80,14.5,8.43388610206521,24,17.874257191472356,11.125742808527646
Branaplam,500,82,13.666666666666666,7.9217184492006405,24,16.836014120800428,10.497319212532904
Branaplam,500,84,13.458333333333334,8.070230677521293,24,16.68709805352548,10.229568613141184
Branaplam,750,0,36.666666666666664,12.903207106110806,24,41.829024664386154,31.504308668947175
Branaplam,750,2,39.291666666666664,13.50516541008007,24,44.69485814394161,33.88847518939172
Branaplam,750,4,40.5,13.318832694640552,24,45.82864286498999,35.17135713501001
Branaplam,750,6,40.666666666666664,13.2490087132607,24,45.96737412104558,35.36595921228775
Branaplam,750,8,40.333333333333336,12.920043971747312,24,45.502427480233436,35.164239186433235
Branaplam,750,10,39.166666666666664,13.43152251613529,24,44.540394850095,33.79293848323833
Branaplam,750,12,37,13.580676809669527,24,42.43340232907202,31.566597670927983
Branaplam,750,14,35.458333333333336,13.338336923472054,24,40.79477951503905,30.121887151627618
Branaplam,750,16,35.541666666666664,13.292623540133459,24,40.85982368598507,30.22350964734826
Branaplam,750,18,34.333333333333336,13.043961343711192,24,39.552004754391206,29.114661912275462
Branaplam,750,20,34.458333333333336,11.945452715561272,24,39.23750977027924,29.679156896387433
Branaplam,750,22,33.125,12.259202399759165,24,38.02970245370912,28.220297546290876
Branaplam,750,24,32.25,12.073146630651738,24,37.08026464303346,27.41973535696654
Branaplam,750,26,30.958333333333332,11.715761092264321,24,35.645613981985285,26.27105268468138
Branaplam,750,28,30.083333333333332,13.064777296115745,24,35.310332869835065,24.856333796831596
Branaplam,750,30,28.708333333333332,12.348135457443052,24,33.648616420432326,23.768050246234342
Branaplam,750,32,27.291666666666668,11.445444002125784,24,31.87079795518504,22.712535378148296
Branaplam,750,34,26.333333333333332,10.957096833308208,24,30.717085062965513,21.94958160370115
Branaplam,750,36,25.458333333333332,11.294397097548034,24,29.977033274089454,20.93963339257721
Branaplam,750,38,24.208333333333332,10.61573551760358,24,28.45551209286994,19.961154573796723
Branaplam,750,40,23.25,10.309345696776889,24,27.374597301379946,19.125402698620054
Branaplam,750,42,22.416666666666668,9.41745219245107,24,26.18443224959811,18.648901083735225
Branaplam,750,44,22.25,9.460443964212251,24,26.034965873910448,18.465034126089552
Branaplam,750,46,21.75,9.478809317997515,24,25.542313545711313,17.957686454288687
Branaplam,750,48,21.166666666666668,9.40243570046875,24,24.928424401561173,17.404908931772162
Branaplam,750,50,20.208333333333332,8.767425712441959,24,23.716034161029214,16.70063250563745
Branaplam,750,52,20.5,9.064982793336029,24,24.126748453894493,16.873251546105507
Branaplam,750,54,19.708333333333332,8.755019264332923,24,23.211070548022594,16.20559611864407
Branaplam,750,56,19.75,7.990483470163524,24,22.946859192340533,16.553140807659467
Branaplam,750,58,19.875,7.82033302971505,24,23.003784838434466,16.746215161565534
Branaplam,750,60,18.75,7.831097429895872,24,21.883091495446724,15.616908504553278
Branaplam,750,62,18.75,7.36767322128582,24,21.69768319734059,15.802316802659409
Branaplam,750,64,18.291666666666668,7.4860982271585685,24,21.286729734079067,15.296603599254267
Branaplam,750,66,18.5,7.413266603807692,24,21.46592434940219,15.534075650597808
Branaplam,750,68,18.125,7.897784499465657,24,21.284771879951673,14.965228120048327
Branaplam,750,70,17.333333333333332,7.469745741942985,24,20.321854044094316,14.344812622572347
Branaplam,750,72,16.458333333333332,7.288938412993061,24,19.374516046806114,13.542150619860548
Branaplam,750,74,16.125,7.617556951742696,24,19.17265751099887,13.07734248900113
Branaplam,750,76,15.583333333333334,7.222649560006817,24,18.472994982115843,12.693671684550825
Branaplam,750,78,14.75,7.103275423291035,24,17.591902047287487,11.908097952712513
Branaplam,750,80,14.875,6.64838980178823,24,17.534909895499077,12.215090104500923
Branaplam,750,82,15.333333333333334,7.905235836025919,24,18.496086368789157,12.17058029787751
Branaplam,750,84,13.375,5.998641150475157,24,15.774956294891911,10.975043705108089
Branaplam,1000,0,40.5,15.387742157173422,24,46.65637904116947,34.34362095883053
Branaplam,1000,2,43.416666666666664,16.748566886561463,24,50.11748898984188,36.71584434349145
Branaplam,1000,4,44.541666666666664,17.871471477011152,24,51.69174439165889,37.39158894167444
Branaplam,1000,6,43.791666666666664,17.68806811449991,24,50.86836776463256,36.71496556870077
Branaplam,1000,8,43.833333333333336,19.383243921684944,24,51.58824600411184,36.078420662554834
Branaplam,1000,10,41.958333333333336,19.263570409649823,24,49.66536662754374,34.25130003912293
Branaplam,1000,12,40.791666666666664,18.120320485376457,24,48.041304730262674,33.542028603070655
Branaplam,1000,14,39.083333333333336,15.700780004624713,24,45.36495359725383,32.80171306941284
Branaplam,1000,16,40.083333333333336,16.64440542296594,24,46.74248239185236,33.42418427481431
Branaplam,1000,18,39.291666666666664,16.708444016403064,24,45.97643649855422,32.60689683477911
Branaplam,1000,20,39.25,17.275894238479538,24,46.1617972033119,32.3382027966881
Branaplam,1000,22,38.458333333333336,17.217228900566223,24,45.34665951321089,31.570007153455784
Branaplam,1000,24,36.75,16.440273984810965,24,43.32747947407547,30.172520525924533
Branaplam,1000,26,34.666666666666664,15.799467978568048,24,40.98777034330584,28.345562990027492
Branaplam,1000,28,33.916666666666664,15.438282926224177,24,40.09326622674856,27.740067106584767
Branaplam,1000,30,33,14.422205101855956,24,38.77008376600086,27.22991623399914
Branaplam,1000,32,32.416666666666664,13.474344919679499,24,37.80752737967467,27.02580595365866
Branaplam,1000,34,31.083333333333332,13.23998117254233,24,36.38042901920819,25.786237647458474
Branaplam,1000,36,29.875,12.389731021398676,24,34.831924778617235,24.91807522138276
Branaplam,1000,38,28.833333333333332,11.701604002523931,24,33.514949966454516,24.151716700212148
Branaplam,1000,40,28.166666666666668,11.947954770102111,24,32.94684413391174,23.386489199421597
Branaplam,1000,42,27.416666666666668,11.328750138922869,24,31.94911068642803,22.884222646905307
