unique_id,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,d0_weighted_mean_repeat,allele_1,allele_2,genotype,well_status,weighted_repeat_gain,gene,gene_geno
0515plate_G02.fsa,124.9711968,4199,124.9711968,4199,16,10,4,118.9711968,127.9711968,123.4711968,124.4121019,123.4711968,4199,-6,3,-0.559094938,-0.559094938,1.481674574,0.850769231,1.476780186,1.476780186,-1.507858243,-6,-4.685860409,-3.730166436,-2.636623268,-1.882677165,-1.323301254,-0.807216004,-0.350416766,0.116025974,0.614233766,1.210656934,1.677347932,2.351993243,0,0,0,0,0,0,0.26,0.53012987,0.80025974,1.131873479,1.637956204,1.890997567,2.648648649,G02,0515plate_G02,0515plate,MSH3_KO_c14,0,TRUE,FALSE,NA,124.4121019,FALSE,FALSE,hom_edited,NA,0,MSH3,MSH3-/-
0515plate_G03.fsa,126.8214035,3769,126.8214035,3769,24,10,4,120.8214035,129.8214035,125.3214035,126.134356,125.3214035,3769,-6,3,-0.687047466,-0.687047466,1.532237674,0.824994391,1.365083577,1.365083577,-1.575426287,-6,-4.84437799,-3.884039548,-2.781964286,-2.005089286,-1.469041769,-0.943486336,-0.481772353,-0.020058371,0.520675633,1.123177238,1.638944873,2.333256705,0,0,0,0,0,0,0.215201752,0.494025649,0.772849546,1.097925311,1.626318909,1.890515708,2.658467433,G03,0515plate_G03,0515plate,MSH3_KO_c15,0,TRUE,FALSE,NA,126.134356,FALSE,FALSE,hom_edited,NA,0,MSH3,MSH3-/-
0515plate_G04.fsa,125.0800325,3151,125.0800325,3151,21,11,5,119.0800325,129.0800325,124.0800325,124.8703141,124.0800325,3151,-6,4,-0.209718368,-0.209718368,1.657082128,1.219116769,2.190733101,2.190733101,-1.575543153,-6,-4.674433428,-3.674253076,-2.494046969,-1.695445774,-1.041759938,-0.496826404,0.040893142,0.581148325,1.161066441,1.877824799,2.456004902,3.064254144,0,0,0,0,0,0.277703349,0.598405104,0.919106858,1.318154888,1.743630978,2.326470588,2.737173203,3.444530387,G04,0515plate_G04,0515plate,MSH3_KO_c16,0,TRUE,FALSE,NA,124.8703141,FALSE,FALSE,hom_edited,NA,0,MSH3,MSH3-/-
0515plate_G05.fsa,138.1879306,849,138.1879306,849,24,17,8,129.1879306,145.1879306,137.1879306,138.2017849,137.1879306,849,-9,7,0.013854296,0.013854296,2.512297634,2.149403974,3.446407538,3.446407538,-2.294168096,-8.70779661,-6.12,-4.724610592,-3.103282276,-1.998340249,-1.109820194,-0.336866902,0.434634146,1.253617021,2.218832392,3.598947368,4.66984127,6.226024096,0,0,0,0,0.345731707,0.806097561,1.309929078,1.845390071,2.505649718,3.302631579,4.446428571,5.317741935,6.545180723,G05,0515plate_G05,0515plate,PMS1_KO_c1,0,TRUE,FALSE,NA,138.2017849,FALSE,TRUE,het_edited,NA,0,PMS1,PMS1+/-
0515plate_G06.fsa,132.4944637,3330,132.4944637,3330,24,11,5,126.4944637,136.4944637,131.4944637,132.0776362,131.4944637,3330,-6,4,-0.416827503,-0.416827503,1.615259349,1.07626476,1.772072072,1.772072072,-1.577488529,-6,-4.76344086,-3.790024135,-2.649377593,-1.854009349,-1.257820928,-0.717417417,-0.21951952,0.306750496,0.855393779,1.629706034,2.153103448,3.228837209,0,0,0,0,0,0.119920582,0.425380543,0.730840503,1.056575554,1.532645694,2.023310345,2.659931034,3.570651163,G06,0515plate_G06,0515plate,PMS1_KO_c2,0,TRUE,FALSE,NA,132.0776362,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
0515plate_G07.fsa,132.4196392,4154,132.4196392,4154,22,11,5,126.4196392,136.4196392,131.4196392,132.0208554,131.4196392,4154,-6,4,-0.398783751,-0.398783751,1.588080759,1.060656022,1.774193548,1.774193548,-1.548729617,-6,-4.686512415,-3.725458115,-2.607867495,-1.829808806,-1.234356895,-0.69992778,-0.205103515,0.314393939,0.851358412,1.608971733,2.082210999,3.021190476,0,0,0,0,0,0.119017764,0.420062696,0.721107628,1.034739861,1.506841458,1.978943056,2.589001122,3.451238095,G07,0515plate_G07,0515plate,PMS1_KO_c3,0,TRUE,FALSE,NA,132.0208554,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
0515plate_G08.fsa,128.7940503,3048,128.7940503,3048,22,10,5,123.7940503,132.7940503,128.2940503,128.7874411,128.2940503,3048,-5,4,-0.006609253,-0.006609253,1.508712197,1.191989828,2.096456693,2.096456693,-1.32134125,-5,-3.994456887,-3.155767077,-2.115940143,-1.442458809,-0.852165354,-0.360728346,0.131441768,0.625635104,1.168694844,1.864421737,2.501701427,3.492237288,0,0,0,0,0,0.239920818,0.5513032,0.862685582,1.245053414,1.683418486,2.287815587,2.805817783,3.680067797,G08,0515plate_G08,0515plate,PMS1_KO_c4,0,TRUE,FALSE,NA,128.7874411,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
0515plate_G09.fsa,131.586366,3627,131.586366,3627,24,11,5,125.586366,135.586366,130.586366,131.3106701,130.586366,3627,-6,4,-0.275695814,-0.275695814,1.614727153,1.148496241,1.933553901,1.933553901,-1.535012012,-6,-4.63442623,-3.655760369,-2.521005917,-1.735421687,-1.107125645,-0.582575131,-0.079349325,0.451379918,0.98725778,1.771341991,2.386720322,3.397623762,0,0,0,0,0,0.184674105,0.497064005,0.809453905,1.17965368,1.64025974,2.234406439,2.769617706,3.648844884,G09,0515plate_G09,0515plate,PMS1_KO_c5,0,TRUE,FALSE,NA,131.3106701,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
0515plate_G10.fsa,119.1688942,5243,119.1688942,5243,19,9,4,114.1688942,122.1688942,118.1688942,118.9695408,118.1688942,5243,-5,3,-0.199353448,-0.199353448,1.409399867,0.994549666,1.799542247,1.799542247,-1.320901109,-5,-4.074612634,-3.257272727,-2.236425596,-1.5529,-0.961625024,-0.501430479,-0.041235934,0.420482389,0.882350689,1.551764345,1.921939245,2.746554622,0,0,0,0,0,0.12025268,0.401225115,0.68219755,0.963169985,1.391347039,1.841730592,2.229096639,2.845819328,G10,0515plate_G10,0515plate,PMS1_KO_c6,0,TRUE,FALSE,NA,118.9695408,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
0515plate_G11.fsa,134.4160938,2211,134.4160938,2211,23,17,9,126.4160938,142.4160938,134.4160938,134.3153866,134.4160938,2211,-8,8,-0.10070723,-0.10070723,2.566193232,2.241577213,3.255540479,3.255540479,-2.301886792,-7.96608209,-6.041779279,-4.844502075,-3.350144928,-2.299257991,-1.419187469,-0.613523293,0.175012346,1.025140362,2.121177433,3.681779207,4.92169967,6.954030418,0,0,0,0,0.302074074,0.766716049,1.292264504,1.87922645,2.61103843,3.498606645,4.780693069,5.874481865,7.408238994,G11,0515plate_G11,0515plate,PMS1_KO_c7,0,TRUE,FALSE,NA,134.3153866,TRUE,FALSE,het_edited,NA,0,PMS1,PMS1+/-
0515plate_G12.fsa,132.3720236,2327,132.3720236,2327,32,15,8,125.3720236,139.3720236,132.3720236,132.5687734,132.3720236,2327,-7,7,0.196749783,0.196749783,2.203820866,1.988184527,3.18263859,3.18263859,-1.856241395,-6.918795181,-4.978940028,-3.908193833,-2.652688172,-1.749227799,-0.974301676,-0.281478298,0.424102791,1.161865285,1.997202073,3.289176471,4.404609218,6.201881188,0,0,0,0,0.262693841,0.693929996,1.146373057,1.650673575,2.219764879,2.934900808,4.069539078,5.072801303,6.518168317,G12,0515plate_G12,0515plate,PMS1_KO_c8,0,TRUE,FALSE,NA,132.5687734,TRUE,FALSE,het_edited,NA,0,PMS1,PMS1+/-
0515plate_H03.fsa,123.9406589,2003,123.9406589,2003,25,10,4,117.9406589,126.9406589,122.4406589,123.4970315,122.4406589,2003,-6,3,-0.443627451,-0.443627451,1.548815359,0.98346056,1.74687968,1.74687968,-1.550135071,-6,-4.777664975,-3.737535817,-2.588662533,-1.811277744,-1.223875225,-0.697453819,-0.208587119,0.290129199,0.796175711,1.480921053,1.883552632,2.71862069,0,0,0,0,0,0.102222222,0.386563307,0.670904393,0.955245478,1.38125,1.833717105,2.209482759,2.841896552,H03,0515plate_H03,0515plate,PMS1_KO_c11,0,TRUE,FALSE,NA,123.4970315,FALSE,FALSE,hom_edited,NA,0,PMS1,PMS1-/-
