unique_id,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,percentile_1,percentile_5,percentile_10,percentile_20,percentile_30,percentile_40,percentile_50,percentile_60,percentile_70,percentile_80,percentile_90,percentile_95,percentile_99,expansion_percentile_1,expansion_percentile_5,expansion_percentile_10,expansion_percentile_20,expansion_percentile_30,expansion_percentile_40,expansion_percentile_50,expansion_percentile_60,expansion_percentile_70,expansion_percentile_80,expansion_percentile_90,expansion_percentile_95,expansion_percentile_99,fsa_id,submission_number,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,date,dox_status,d0_weighted_mean_repeat,culture_day,ko
A05_20221215.fsa,143.7868694111089,78,129.7868694111089,37,29,29,29,129.7868694111089,157.7868694111089,143.7868694111089,143.53930250113322,143.7868694111089,78,0,28,15.506643006148181,13.752433090024331,13.752433090024331,13.752433090024331,20.076923076923077,20.076923076923077,0,0,1.137777777777778,3.0739130434782607,6.078688524590164,8.574285714285715,10.851948051948053,13.051282051282051,15.334375,17.820588235294117,20.55925925925926,23.77872340425532,25.652631578947364,27.50181818181818,0,1.137777777777778,3.0739130434782607,6.078688524590164,8.574285714285715,10.851948051948053,13.051282051282051,15.334375,17.820588235294117,20.55925925925926,23.77872340425532,25.652631578947364,27.50181818181818,A05_20221215,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,128.03265949498504,42,FAN1-KO
A06_20221215.fsa,145.95979029142444,94,126.95979029142444,43,43,43,40,117.95979029142444,166.95979029142444,144.72723215188955,145.05710572766606,144.95979029142444,94,-9,40,17.024446232681015,18.09731543624161,18.532811334824757,19.039147286821706,26.4468085106383,26.4468085106383,-4.027586206896552,-9,-0.253488372093023,2.814285714285715,7.323333333333333,11.363157894736844,14.8725,18.0531914893617,21.121739130434783,24.192,27.602702702702704,32.39245283018868,35.372499999999995,38.42235294117647,0,1.9333333333333336,4.647058823529412,8.661290322580646,12.306666666666668,15.653846153846153,18.595744680851062,21.565217391304348,24.6,27.87837837837838,32.58490566037736,35.49999999999999,38.482352941176465,A06_20221215,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,128.03265949498504,42,FAN1-KO
A08_20221215.fsa,133.23219033318964,210,126.23219033318964,119,38,38,30,116.23219033318964,155.23219033318964,136.67955875424227,136.22335566764482,136.73219033318964,210,-10,29,8.190696172659784,9.991165334455195,10.96129575094657,11.855272554153773,19.004761904761907,19.004761904761907,-3.431547619047619,-9.97107142857143,-4.7671052631578945,-1.8344086021505372,1.8621118012422362,4.380295566502464,6.683809523809524,8.990196078431373,11.417486338797813,14.266666666666667,17.579687500000002,21.77821782178218,24.666233766233766,27.969199999999997,0,0.6503571428571429,2.000549450549451,4.217733990147783,6.2633333333333345,8.286274509803922,10.365284974093264,12.682142857142857,15.37816901408451,18.493913043478262,22.38705882352941,25.030952380952378,28.08673913043478,A08_20221215,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-11-23,NA,128.03265949498504,21,FAN1-KO
A09_20221215.fsa,133.63164963923813,182,126.63164963923813,78,36,35,29,117.63164963923813,154.63164963923813,137.54593535352384,136.99305217927127,137.63164963923813,182,-9,28,8.960392684286234,10.361402540033131,10.951684152401988,11.653985507246377,17.197802197802197,17.197802197802197,-2.7551546391752577,-9,-2.86,-0.3307692307692307,2.8686567164179113,5.165269461077846,7.229213483146068,9.294797687861271,11.465359477124183,14.027868852459017,17.17142857142857,21.36455696202532,24.25272727272727,27.0945,0,0.8673267326732675,2.247761194029851,4.4751515151515155,6.4263736263736275,8.280459770114943,10.195266272189349,12.29103448275862,14.79016393442623,17.852747252747257,21.756962025316454,24.53454545454545,27.172000000000004,A09_20221215,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-11-23,NA,128.03265949498504,21,FAN1-KO
A10_20221215.fsa,135.63927701360257,154,126.63927701360257,93,33,33,27,120.63927701360257,152.63927701360257,136.63927701360257,136.09056231985454,136.63927701360257,154,-6,26,8.057902824869501,9.451285306251984,10.113932085052365,10.977564102564102,17.233766233766232,17.233766233766232,-2.3944954128440368,-6,-3.5669491525423727,-1.3361445783132528,1.716071428571429,4.245000000000002,6.42937062937063,8.522727272727273,10.75072463768116,13.24732142857143,16.37291666666667,20.057352941176468,22.489423076923075,25.21225,0,0.4157894736842106,1.6589285714285715,3.951145038167939,5.908108108108109,7.811764705882354,9.710144927536232,11.767164179104476,14.187878787878791,17.088421052631578,20.561764705882354,22.819230769230767,25.298,A10_20221215,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-11-23,NA,128.03265949498504,21,FAN1-KO
B01_20221215.fsa,125.28088397400019,226,125.28088397400019,226,29,23,14,116.28088397400019,139.28088397400018,127.32436223486975,126.45645062786112,127.28088397400019,226,-9,13.999999999999986,0.41503315303164356,1.1755666538609244,4.404149058778327,4.590391908975971,6,6,-3.3696872493985564,-9,-8.062179487179487,-6.650495049504951,-4.064,-2.265662650602409,-0.9106194690265482,0.25,1.5148936170212761,3.2356521739130315,5.643298969072152,8.441891891891878,10.447499999999984,12.868260869565201,0,0,0,0.4146788990825689,1.1627659574468088,2.0056338028169014,3.147826086956507,4.547272727272713,6.118749999999988,7.758762886597925,9.980645161290308,11.350980392156847,13.312173913043464,B01_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
B02_20221215.fsa,126.13834403612151,177,125.13834403612151,163,19,19,11,117.13834403612151,136.1383440361215,126.19097561506888,125.99896485170277,126.13834403612151,177,-8,11,-0.04245262312670661,0.8606208155812538,3.420572124163116,3.3817307692307694,4.875706214689266,4.875706214689266,-2.745430809399478,-8,-7.134313725490196,-5.5218181818181815,-3.0771084337349395,-1.7439189189189184,-0.667484662576687,0.31355932203389825,1.2891891891891887,2.413286713286714,3.6991304347826093,6.229411764705884,7.952222222222222,10.1785,0,0,0,0.25423728813559326,0.84180790960452,1.5135135135135136,2.2237762237762237,2.9510489510489513,3.843478260869566,5.333333333333334,7.466666666666667,8.699999999999998,10.479999999999999,B02_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
B03_20221215.fsa,125.17068830336612,66,125.17068830336612,66,18,18,11,113.17068830336612,135.17068830336612,126.39291052558835,126.44006568583119,126.67068830336612,66,-12,10,0.39864821100171355,1.2693773824650572,4.415501905972046,4.4473161033797215,6.621212121212121,6.621212121212121,-3.5371428571428574,-12,-11.027272727272727,-5.727906976744186,-3.791111111111111,-1.921153846153845,-0.5333333333333329,0.701612903225806,2.1024390243902435,4.105405405405405,6.095833333333335,7.8825,8.888461538461538,9.775142857142857,0,0,0,0.5580645161290324,1.408928571428572,2.4195121951219516,3.6973684210526314,5.04390243902439,6.231250000000001,7.335000000000001,8.607692307692307,9.28142857142857,9.856285714285715,B03_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
B04_20221215.fsa,125.05704901802474,238,125.05704901802474,238,37,23,12,112.05704901802474,136.05704901802474,124.97009249628562,125.29412635964931,125.05704901802474,238,-13,11,-0.7472911151801611,0.2370773416245628,4.268169452001555,3.9835051546391753,5.11344537815126,5.11344537815126,-3.8244837758112094,-13,-9.612295081967213,-7.726923076923077,-4.786792452830189,-2.7044692737430163,-1.4036363636363633,-0.29201680672268904,0.8200873362445417,2.336718750000001,4.641176470588236,7.314772727272727,8.843827160493825,10.514528301886791,0,0,0,0.2314410480349345,0.866812227074236,1.6647398843930636,2.68359375,3.9813084112149535,5.4234693877551035,6.936842105263159,8.635802469135804,9.686507936507935,10.725471698113207,B04_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
B05_20221215.fsa,125.32565096519528,228,125.32565096519528,228,38,26,15,112.32565096519528,139.32565096519528,126.7487278882722,126.49571664096437,126.82565096519528,228,-13,14,0.45429916613490207,1.170065675769098,4.936398202557898,4.993216506500848,6.758771929824562,6.758771929824562,-4.029585798816568,-13,-9.32391304347826,-7.452222222222222,-4.651851851851852,-2.438194444444443,-0.8543859649122802,0.4436619718309862,1.867005076142131,3.7801470588235304,6.351304347826088,8.987128712871288,11.060909090909087,13.371086956521737,0,0,0,0.5906103286384977,1.455329949238579,2.443312101910828,3.658088235294118,5.156190476190476,6.767826086956523,8.34851485148515,10.533870967741937,12.096808510638297,13.615434782608695,B05_20221215,NA,20221216,NA,NA,NA,P-22-219_PMS1KO,2022-12-14,NA,126.04141747482947,42,PMS1-KO
