unique_id,size,scan,signal,fsa_id,submission_number,code,sample,plate_id,repeat_positive_control_TF,repeat_positive_control_length,indices_baseline_control_TF,sample_group_id,date,dox_status,culture_day,ko,modal_size,baseline_correction,rel_signal
A01_20221215.fsa,418.7601102935323,4088,18,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.1329479768786127
A01_20221215.fsa,418.9139249240468,4089,13,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10404624277456648
A01_20221215.fsa,419.0677395545612,4090,14,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10982658959537572
A01_20221215.fsa,419.22155418507555,4091,5,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.057803468208092484
A01_20221215.fsa,419.37536881559004,4092,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,419.5291834461044,4093,10,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.08670520231213873
A01_20221215.fsa,419.6829980766188,4094,7,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06936416184971098
A01_20221215.fsa,419.8368127071333,4095,6,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06358381502890173
A01_20221215.fsa,419.99062733764765,4096,6,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.06358381502890173
A01_20221215.fsa,420.144441968162,4097,13,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.10404624277456648
A01_20221215.fsa,420.2982565986765,4098,17,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12716763005780346
A01_20221215.fsa,420.4520712291909,4099,12,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.09826589595375723
A01_20221215.fsa,420.60588585970527,4100,19,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.13872832369942195
A01_20221215.fsa,420.75970049021976,4101,16,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.12138728323699421
A01_20221215.fsa,420.91351512073413,4102,19,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.13872832369942195
A01_20221215.fsa,421.0673297512485,4103,36,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.23699421965317918
A01_20221215.fsa,421.221144381763,4104,41,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.2658959537572254
A01_20221215.fsa,421.3749590122774,4105,29,A01_20221215,NA,NA,NA,20221216,NA,NA,NA,P-22-218_FAN1KO,2022-12-14,NA,Day 42,FAN1-KO,455.65475963200606,5,0.19653179190751446
