unique_id,strain,repeats,signal,dox,days,rel_signal,modal_repeat
S-22-105_RPE1_481_7.fsa,7,107.03587404181272,14,Non-induced,0,0.009992862241256246,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.09062068537168,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.14536732893062,0,Non-induced,0,0,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.20011397248952,10,Non-induced,0,0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.25486061604848,25,Non-induced,0,0.017844396859386154,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.30960725960743,33,Non-induced,0,0.023554603854389723,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.36435390316636,31,Non-induced,0,0.02212705210563883,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.4191005467253,50,Non-induced,0,0.03568879371877231,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.47384719028426,51,Non-induced,0,0.03640256959314775,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.52859383384316,38,Non-induced,0,0.027123483226266953,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.58334047740212,26,Non-induced,0,0.018558172733761598,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.63808712096106,15,Non-induced,0,0.010706638115631691,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.69283376452002,1,Non-induced,0,7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.74758040807892,6,Non-induced,0,0.004282655246252677,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.80232705163787,10,Non-induced,0,0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.85707369519682,7,Non-induced,0,0.004996431120628123,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.91182033875572,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,107.96656698231467,22,Non-induced,0,0.015703069236259814,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.02131362587363,9,Non-induced,0,0.006423982869379015,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.07606026943255,9,Non-induced,0,0.006423982869379015,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.1308069129915,14,Non-induced,0,0.009992862241256246,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.18555355655043,16,Non-induced,0,0.011420413990007138,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.24030020010936,18,Non-induced,0,0.01284796573875803,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.29504684366832,25,Non-induced,0,0.017844396859386154,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.34979348722726,42,Non-induced,0,0.029978586723768737,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.40454013078616,47,Non-induced,0,0.03354746609564597,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.45928677434512,54,Non-induced,0,0.03854389721627409,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.51403341790407,35,Non-induced,0,0.024982155603140613,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.56878006146296,23,Non-induced,0,0.01641684511063526,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.62352670502192,5,Non-induced,0,0.0035688793718772305,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.67827334858087,-1,Non-induced,0,-7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.7330199921398,8,Non-induced,0,0.005710206995003569,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.78776663569876,-1,Non-induced,0,-7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.8425132792577,19,Non-induced,0,0.013561741613133477,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.89725992281663,18,Non-induced,0,0.01284796573875803,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,108.95200656637556,10,Non-induced,0,0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.00675320993452,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.06149985349346,4,Non-induced,0,0.0028551034975017845,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.11624649705236,17,Non-induced,0,0.012134189864382585,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.17099314061132,22,Non-induced,0,0.015703069236259814,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.22573978417027,31,Non-induced,0,0.02212705210563883,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.28048642772916,48,Non-induced,0,0.034261241970021415,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.33523307128812,59,Non-induced,0,0.042112776588151324,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.38997971484707,75,Non-induced,0,0.05353319057815846,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.444726358406,60,Non-induced,0,0.042826552462526764,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.49947300196494,31,Non-induced,0,0.02212705210563883,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.55421964552387,12,Non-induced,0,0.008565310492505354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.6089662890828,8,Non-induced,0,0.005710206995003569,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.66371293264176,0,Non-induced,0,0,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.71845957620071,-2,Non-induced,0,-0.0014275517487508922,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.7732062197596,6,Non-induced,0,0.004282655246252677,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.82795286331856,-5,Non-induced,0,-0.0035688793718772305,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.88269950687751,0,Non-induced,0,0,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.93744615043641,9,Non-induced,0,0.006423982869379015,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,109.99219279399536,4,Non-induced,0,0.0028551034975017845,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.04693943755431,3,Non-induced,0,0.0021413276231263384,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.10168608111327,16,Non-induced,0,0.011420413990007138,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.1564327246722,25,Non-induced,0,0.017844396859386154,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.21117936823111,30,Non-induced,0,0.021413276231263382,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.26592601179007,65,Non-induced,0,0.046395431834404,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.320672655349,84,Non-induced,0,0.059957173447537475,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.37541929890796,77,Non-induced,0,0.054960742326909354,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.43016594246691,72,Non-induced,0,0.05139186295503212,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.4849125860258,38,Non-induced,0,0.027123483226266953,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.53965922958476,13,Non-induced,0,0.009279086366880799,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.59440587314371,0,Non-induced,0,0,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.64915251670261,-1,Non-induced,0,-7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.70389916026156,-1,Non-induced,0,-7.137758743754461e-4,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.75864580382051,-19,Non-induced,0,-0.013561741613133477,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.81339244737944,-2,Non-induced,0,-0.0014275517487508922,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.8681390909384,7,Non-induced,0,0.004996431120628123,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.92288573449731,0,Non-induced,0,0,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,110.97763237805624,7,Non-induced,0,0.004996431120628123,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.0323790216152,5,Non-induced,0,0.0035688793718772305,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.08712566517416,10,Non-induced,0,0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.14187230873306,40,Non-induced,0,0.028551034975017844,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.196618952292,56,Non-induced,0,0.03997144896502498,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.25136559585096,79,Non-induced,0,0.05638829407566024,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.30611223940991,93,Non-induced,0,0.06638115631691649,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.36085888296881,106,Non-induced,0,0.07566024268379729,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.41560552652776,65,Non-induced,0,0.046395431834404,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.47035217008671,35,Non-induced,0,0.024982155603140613,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.52509881364564,19,Non-induced,0,0.013561741613133477,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.57984545720457,3,Non-induced,0,0.0021413276231263384,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.63459210076351,-3,Non-induced,0,-0.0021413276231263384,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.68933874432244,-10,Non-induced,0,-0.007137758743754461,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.7440853878814,-3,Non-induced,0,-0.0021413276231263384,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.79883203144036,-8,Non-induced,0,-0.005710206995003569,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.85357867499926,-8,Non-induced,0,-0.005710206995003569,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.9083253185582,-8,Non-induced,0,-0.005710206995003569,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,111.96307196211716,9,Non-induced,0,0.006423982869379015,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.01781860567606,31,Non-induced,0,0.02212705210563883,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.07256524923501,36,Non-induced,0,0.02569593147751606,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.12731189279395,57,Non-induced,0,0.04068522483940043,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.18205853635288,109,Non-induced,0,0.07780157030692363,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.23680517991184,141,Non-induced,0,0.1006423982869379,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.29155182347077,148,Non-induced,0,0.10563882940756603,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.34629846702968,131,Non-induced,0,0.09350463954318344,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.40104511058864,76,Non-induced,0,0.05424696645253391,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.4557917541476,41,Non-induced,0,0.02926481084939329,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.5105383977065,19,Non-induced,0,0.013561741613133477,118.97064233766118
S-22-105_RPE1_481_7.fsa,7,112.56528504126545,9,Non-induced,0,0.006423982869379015,118.97064233766118
