name,dox,GFP.A
"RPE1
non-induced",minus,26.130001068115234
"RPE1
non-induced",minus,18.09000015258789
"RPE1
non-induced",minus,8.710000038146973
"RPE1
non-induced",minus,22.110000610351563
"RPE1
non-induced",minus,30.82000160217285
"RPE1
non-induced",minus,19.43000030517578
"RPE1
non-induced",minus,19.43000030517578
"RPE1
non-induced",minus,9.380000114440918
"RPE1
non-induced",minus,30.82000160217285
"RPE1
non-induced",minus,30.150001525878906
"RPE1
non-induced",minus,16.079999923706055
"RPE1
non-induced",minus,28.14000129699707
"RPE1
non-induced",minus,22.780000686645508
"RPE1
non-induced",minus,25.46000099182129
"RPE1
non-induced",minus,16.079999923706055
"RPE1
non-induced",minus,27.470001220703125
"RPE1
non-induced",minus,16.079999923706055
"RPE1
non-induced",minus,16.079999923706055
"RPE1
non-induced",minus,37.52000045776367
"RPE1
non-induced",minus,32.83000183105469
"RPE1
non-induced",minus,5.360000133514404
"RPE1
non-induced",minus,6.03000020980835
