image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
37,368,49,319,0.7478652092236019,0.25213479077813555,0.4721905544018196,0,0,0,037,s1,slide1,0,pos
38,431,64,367,0.7845416595164795,0.2154583404839397,0.561252699295474,0,0,0,038,s1,slide1,0,pos
39,423,60,363,0.7695589555220117,0.2304410444790791,0.5236820615162688,0,0,0,039,s1,slide1,0,pos
40,377,99,278,0.9350782118089268,0.0649217881917451,1.1584574642214118,0,0,0,040,s1,slide1,0,pos
41,398,65,333,0.8141127661156407,0.1858872338848602,0.6414350000764388,0,0,0,041,s1,slide1,0,pos
42,352,61,291,0.8313182488143908,0.16868175118543038,0.692699213055123,0,0,0,042,s1,slide1,0,pos
43,337,78,259,0.9079734617381616,0.09202653826177072,0.9941600695488528,0,0,0,043,s1,slide1,0,pos
44,339,84,255,0.9229373615575932,0.07706263844226198,1.0783283529319627,1,1,0,044,s1,slide1,0,pos
45,264,51,213,0.8603342860892739,0.13966571391067073,0.7895774251379297,0,0,0,045,s1,slide1,0,pos
46,226,45,181,0.8671536257746645,0.13284637422506937,0.8147463386092502,0,0,0,046,s1,slide1,0,pos
47,147,39,108,0.9297070147406958,0.07029298525934013,1.1214341200931708,0,0,0,047,s1,slide1,0,pos
48,184,63,121,0.9714517972128794,0.0285482027868701,1.5318424830392254,0,0,0,048,s1,slide1,0,pos
49,213,60,153,0.944362936134324,0.05563706386554596,1.2297747308715314,1,1,0,049,s1,slide1,0,pos
50,168,38,130,0.8964243272931415,0.10357567270697404,0.9372558713191592,0,0,0,050,s1,slide1,0,pos
51,197,48,149,0.915240415558866,0.08475958444125445,1.0333463708377586,0,0,0,051,s1,slide1,0,pos
52,307,66,241,0.8896849665503137,0.11031503344940466,0.9066015511293568,0,0,0,052,s1,slide1,0,pos
