unique_id,repeats,signal,dox,division,day,rel_signal,modal_repeat
20230801_plate0117_G02.fsa,110.00765158577856,141,Non-induced,D0,0,0.03180690277464471,125.27363021641143
20230801_plate0117_G02.fsa,110.06140503166104,97,Non-induced,D0,0,0.021881344461989624,125.27363021641143
20230801_plate0117_G02.fsa,110.11515847754357,65,Non-induced,D0,0,0.01466275659824047,125.27363021641143
20230801_plate0117_G02.fsa,110.16891192342608,35,Non-induced,D0,0,0.007895330475975638,125.27363021641143
20230801_plate0117_G02.fsa,110.22266536930859,38,Non-induced,D0,0,0.00857207308820212,125.27363021641143
20230801_plate0117_G02.fsa,110.27641881519109,29,Non-induced,D0,0,0.006541845251522671,125.27363021641143
20230801_plate0117_G02.fsa,110.33017226107363,35,Non-induced,D0,0,0.007895330475975638,125.27363021641143
20230801_plate0117_G02.fsa,110.3839257069561,32,Non-induced,D0,0,0.007218587863749154,125.27363021641143
20230801_plate0117_G02.fsa,110.43767915283864,28,Non-induced,D0,0,0.00631626438078051,125.27363021641143
20230801_plate0117_G02.fsa,110.49143259872115,32,Non-induced,D0,0,0.007218587863749154,125.27363021641143
20230801_plate0117_G02.fsa,110.54518604460365,35,Non-induced,D0,0,0.007895330475975638,125.27363021641143
20230801_plate0117_G02.fsa,110.59893949048619,42,Non-induced,D0,0,0.009474396571170765,125.27363021641143
20230801_plate0117_G02.fsa,110.65269293636867,48,Non-induced,D0,0,0.010827881795623731,125.27363021641143
20230801_plate0117_G02.fsa,110.7064463822512,77,Non-induced,D0,0,0.017369727047146403,125.27363021641143
20230801_plate0117_G02.fsa,110.76019982813368,106,Non-induced,D0,0,0.023911572298669075,125.27363021641143
20230801_plate0117_G02.fsa,110.81395327401621,143,Non-induced,D0,0,0.03225806451612903,125.27363021641143
20230801_plate0117_G02.fsa,110.86770671989869,189,Non-induced,D0,0,0.04263478457026844,125.27363021641143
20230801_plate0117_G02.fsa,110.92146016578123,191,Non-induced,D0,0,0.04308594631175276,125.27363021641143
20230801_plate0117_G02.fsa,110.97521361166373,160,Non-induced,D0,0,0.03609293931874577,125.27363021641143
20230801_plate0117_G02.fsa,111.02896705754624,113,Non-induced,D0,0,0.0254906383938642,125.27363021641143
20230801_plate0117_G02.fsa,111.08272050342875,63,Non-induced,D0,0,0.014211594856756148,125.27363021641143
20230801_plate0117_G02.fsa,111.13647394931125,40,Non-induced,D0,0,0.009023234829686443,125.27363021641143
20230801_plate0117_G02.fsa,111.19022739519376,37,Non-induced,D0,0,0.00834649221745996,125.27363021641143
20230801_plate0117_G02.fsa,111.2439808410763,31,Non-induced,D0,0,0.006993006993006993,125.27363021641143
20230801_plate0117_G02.fsa,111.2977342869588,31,Non-induced,D0,0,0.006993006993006993,125.27363021641143
20230801_plate0117_G02.fsa,111.3514877328413,36,Non-induced,D0,0,0.008120911346717798,125.27363021641143
20230801_plate0117_G02.fsa,111.40524117872384,25,Non-induced,D0,0,0.005639521768554027,125.27363021641143
20230801_plate0117_G02.fsa,111.45899462460632,31,Non-induced,D0,0,0.006993006993006993,125.27363021641143
20230801_plate0117_G02.fsa,111.51274807048885,31,Non-induced,D0,0,0.006993006993006993,125.27363021641143
20230801_plate0117_G02.fsa,111.56650151637133,41,Non-induced,D0,0,0.009248815700428605,125.27363021641143
20230801_plate0117_G02.fsa,111.62025496225387,50,Non-induced,D0,0,0.011279043537108053,125.27363021641143
20230801_plate0117_G02.fsa,111.67400840813634,75,Non-induced,D0,0,0.01691856530566208,125.27363021641143
20230801_plate0117_G02.fsa,111.72776185401888,100,Non-induced,D0,0,0.022558087074216106,125.27363021641143
20230801_plate0117_G02.fsa,111.78151529990139,159,Non-induced,D0,0,0.03586735844800361,125.27363021641143
20230801_plate0117_G02.fsa,111.83526874578389,187,Non-induced,D0,0,0.04218362282878412,125.27363021641143
20230801_plate0117_G02.fsa,111.8890221916664,211,Non-induced,D0,0,0.04759756372659599,125.27363021641143
20230801_plate0117_G02.fsa,111.9427756375489,182,Non-induced,D0,0,0.04105571847507331,125.27363021641143
20230801_plate0117_G02.fsa,111.99652908343141,122,Non-induced,D0,0,0.02752086623054365,125.27363021641143
20230801_plate0117_G02.fsa,112.05028252931395,78,Non-induced,D0,0,0.017595307917888565,125.27363021641143
20230801_plate0117_G02.fsa,112.10403597519645,38,Non-induced,D0,0,0.00857207308820212,125.27363021641143
20230801_plate0117_G02.fsa,112.15778942107896,41,Non-induced,D0,0,0.009248815700428605,125.27363021641143
20230801_plate0117_G02.fsa,112.2115428669615,32,Non-induced,D0,0,0.007218587863749154,125.27363021641143
20230801_plate0117_G02.fsa,112.26529631284397,35,Non-induced,D0,0,0.007895330475975638,125.27363021641143
20230801_plate0117_G02.fsa,112.31904975872651,35,Non-induced,D0,0,0.007895330475975638,125.27363021641143
20230801_plate0117_G02.fsa,112.37280320460899,41,Non-induced,D0,0,0.009248815700428605,125.27363021641143
20230801_plate0117_G02.fsa,112.42655665049152,26,Non-induced,D0,0,0.005865102639296188,125.27363021641143
20230801_plate0117_G02.fsa,112.480310096374,37,Non-induced,D0,0,0.00834649221745996,125.27363021641143
20230801_plate0117_G02.fsa,112.53406354225653,48,Non-induced,D0,0,0.010827881795623731,125.27363021641143
20230801_plate0117_G02.fsa,112.58781698813901,57,Non-induced,D0,0,0.012858109632303182,125.27363021641143
20230801_plate0117_G02.fsa,112.64157043402155,88,Non-induced,D0,0,0.019851116625310174,125.27363021641143
20230801_plate0117_G02.fsa,112.69532387990405,109,Non-induced,D0,0,0.024588314910895557,125.27363021641143
