unique_id,QC_comments,QC_modal_peak_height,QC_peak_number,modal_peak_repeat,modal_peak_height,index_peak_repeat,index_peak_height,index_weighted_mean_repeat,n_peaks_total,n_peaks_analysis_subset,n_peaks_analysis_subset_expansions,min_repeat,max_repeat,mean_repeat,weighted_mean_repeat,median_repeat,max_height,max_delta_neg,max_delta_pos,average_repeat_gain,instabity_index_jml,abs_index,expansion_index,pps_index,som_mos_index,contration_index,skewness,kurtosis,expansion_percentile_0.5,expansion_percentile_0.75,expansion_percentile_0.9,expansion_percentile_0.95,well,name,plate_id,cell_strain,pre_sort,fbs_type,dox_status,day,repeat_length_control_repeats,metrics_control,size_std,metrics_grouping
20231124_plate1124_A04.fsa,NA,NA,NA,122.75333333333333,2046,119.05666666666667,1437,119.48351735505682,35,33,23,109.31333333333333,140.35999999999999,124.61121212121212,123.93917230716372,124.54333333333334,2046,-9.74333333333334,21.303333333333313,4.455654952106897,4.882505640497047,5.892576304185991,6.377272653326822,11.017595307917889,11.017595307917889,-2.4687694547083234,-0.005861600265349213,-2.999965641642329,5.13153649821337,8.650523504273501,12.221802547770693,14.504942244224413,A04,20231124_plate1124_A04,20231124,RPE1_481_23,minus,std,Non-induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
20231124_plate1124_A05.fsa,NA,NA,NA,126.36666666666667,2093,120.02333333333333,1103,121.15857901364956,34,33,26,113.20333333333333,144.65333333333334,128.52707070707072,126.7780934889081,128.19333333333333,2093,-6.819999999999993,24.63000000000001,5.619514475258541,6.754760155574768,7.335557373338277,7.86691587389127,12.861442904921166,12.861442904921166,-2.096668895327238,-0.005555898522857873,-2.9999691319916035,6.599336970899485,10.421497005988023,14.79172325249645,17.715387978142093,A05,20231124_plate1124_A05,20231124,RPE1_481_23,plus,std,Non-induced,27,NA,FALSE,FALSE,"Enriched
responders"
20231124_plate1124_A07.fsa,NA,NA,NA,121.05,2694,119.13333333333333,2481,119.48351735505682,42,36,24,100.72666666666667,141.52333333333334,123.44398148148149,122.0261485516797,124.14000000000001,2694,-18.406666666666652,22.390000000000015,2.542631196622878,2.892815218346374,4.947695769752712,5.217888793596349,8.521900519673348,8.521900519673348,-3.1972195892575,-0.005411892495485738,-2.9999707114196172,3.710114613180522,6.934283000949665,10.445124183006554,13.860348837209305,A07,20231124_plate1124_A07,20231124,RPE1_481_23,minus,std,Induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
20231124_plate1124_A08.fsa,NA,NA,NA,121.93333333333334,2607,120.06666666666666,2412,121.15857901364956,38,37,23,95.25333333333333,141.45666666666668,122.6118018018018,123.56993488403317,123.68333333333334,2607,-24.813333333333333,21.390000000000015,2.411355870383616,3.5032682173664997,5.5641393951599385,5.912957186945962,10.683160721135405,10.683160721135405,-3.5051398641319818,-0.005017339785176514,-2.99997482630148,4.575682553692268,8.087235625251308,11.844018363273474,14.471420122887865,A08,20231124_plate1124_A08,20231124,RPE1_481_23,plus,std,Induced,27,NA,FALSE,FALSE,"Enriched
responders"
20231124_plate1124_B04.fsa,NA,NA,NA,122.89999999999999,1726,119.22000000000001,1012,119.48351735505682,32,31,23,111.43,140.54999999999998,125.70709677419354,124.32178290156199,125.60333333333334,1726,-7.790000000000006,21.32999999999997,4.83826554650517,5.101782901561961,5.956343605254304,6.420693306184766,10.381807647740441,10.381807647740441,-2.331948963317395,-0.006620774552818994,-2.9999561653443205,5.120758891645973,8.532499999999983,12.404365942028974,14.951392009987506,B04,20231124_plate1124_B04,20231124,RPE1_481_23,minus,std,Non-induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
20231124_plate1124_B05.fsa,NA,NA,NA,125.56666666666666,1594,120.18,741,121.15857901364956,43,43,30,107.45,148.95000000000002,127.76860465116279,128.2308309495132,127.38666666666667,1594,-12.730000000000004,28.77000000000001,7.0722519358636475,8.050830949513195,8.9026275971093,9.323910877425405,14.153074027603513,14.153074027603513,-3.586455361859485,-0.0061350847819824535,-2.9999623607347177,7.3062811616550984,12.61098428453267,19.292065162907267,22.70679038854804,B05,20231124_plate1124_B05,20231124,RPE1_481_23,plus,std,Non-induced,27,NA,FALSE,FALSE,"Enriched
responders"
20231124_plate1124_B07.fsa,NA,NA,NA,122.87,2424,119.20333333333333,1721,119.48351735505682,33,30,21,110.42666666666666,138.38666666666668,124.20755555555556,122.90375852893014,124.19666666666666,2424,-8.77666666666667,19.18333333333335,3.420241173873322,3.7004251955968,4.840999022016013,5.188507204929473,8.953382838283828,8.953382838283828,-2.4205401100492296,-0.005840866418965887,-2.999965884279476,4.1012534676595145,6.768085515378224,9.78516476733143,12.498189138576775,B07,20231124_plate1124_B07,20231124,RPE1_481_23,minus,std,Induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
20231124_plate1124_B08.fsa,NA,NA,NA,122.89,2467,120.17666666666666,1963,121.15857901364956,36,33,21,95.28333333333335,139.46,123.36707070707071,123.51940985398136,123.8,2467,-24.893333333333317,19.283333333333346,2.3608308403318006,3.3427431873147,5.182557400605125,5.5227517535234405,9.306039724361574,9.306039724361574,-3.1968203396982755,-0.005509746408479226,-2.999969642694514,4.154230594643674,7.459839158061963,11.229895302773079,13.718734866828097,B08,20231124_plate1124_B08,20231124,RPE1_481_23,plus,std,Induced,27,NA,FALSE,FALSE,"Enriched
responders"
20231124_plate1124_C04.fsa,NA,NA,NA,123.79333333333334,1244,119.22000000000001,734,119.48351735505682,33,30,23,112.38,140.54999999999998,126.17666666666666,124.44485735966693,126.03666666666668,1244,-6.840000000000018,21.32999999999997,4.961340004610108,5.2248573596669194,5.982671506798735,6.455311030784119,10.341639871382636,10.341639871382636,-2.139811211489472,-0.00784392138474309,-2.9999384728973095,5.1621990547678465,8.410507352941156,12.540494393476033,15.325173400673396,C04,20231124_plate1124_C04,20231124,RPE1_481_23,minus,std,Non-induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
20231124_plate1124_C07.fsa,NA,NA,NA,121.09666666666668,3000,119.14666666666666,2535,119.48351735505682,34,29,19,109.41333333333334,136.09666666666666,122.75563218390805,122.04262529103035,122.88,3000,-9.73333333333332,16.950000000000003,2.559107935973529,2.895958624363685,4.418214257527329,4.8003432915064215,7.580333333333334,7.580333333333333,-2.4302576702576637,-0.0054402487425752885,-2.999970403693619,3.426880697582245,6.467167721518989,10.257491134751781,12.588671806167413,C07,20231124_plate1124_C07,20231124,RPE1_481_23,minus,std,Induced,27,NA,FALSE,FALSE,"Enriched
non-responders"
