unique_id,size,scan,signal,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,...9,...10,allele_1,allele_2,genotype,gene,gene_geno,norm_signal
0515plate_A10.fsa,404.4938812867024,3727,61,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.02064996614759648
0515plate_A10.fsa,404.66064365085094,3728,54,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01828029790115098
0515plate_A10.fsa,404.8274060149994,3729,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,404.99416837914794,3730,52,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.017603249830737983
0515plate_A10.fsa,405.1609307432965,3731,43,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014556533513879486
0515plate_A10.fsa,405.32769310744493,3732,46,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.015572105619498984
0515plate_A10.fsa,405.4944554715935,3733,32,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.010832769126607989
0515plate_A10.fsa,405.6612178357419,3734,35,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.011848341232227487
0515plate_A10.fsa,405.8279801998905,3735,38,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012863913337846988
0515plate_A10.fsa,405.99474256403903,3736,41,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013879485443466486
0515plate_A10.fsa,406.16150492818747,3737,48,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016249153689911984
0515plate_A10.fsa,406.328267292336,3738,60,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.020311442112389978
